a,b,c,d,total_with_term,odds_ratio,fold_enrichment,p_value,mp_term_id,mp_term_name,top_level_mp_id,top_level_mp_name,p_adjusted,significant,classification,procedures,classification_reason
12,121,341,6075,353,1.766801580184678,1.6739014675498944,0.05425555999023526,MP:0013277,abnormal fasting circulating glucose level,MP:0005376,homeostasis/metabolism phenotype,0.1210825302221104,False,independent,BCMLA_IPG_001; HRWLLA_IPG_001; IMPC_IPG_001; JAXLA_IPG_001; KMPCLA_IPG_001; MGP_IPG_001; TCPLA_IPG_001; UCDLA_IPG_001,default
6,127,130,6286,136,2.2844336765596607,2.1723794781070325,0.05792969452546809,MP:0001566,increased circulating phosphate level,MP:0005376,homeostasis/metabolism phenotype,0.1255870955649388,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003,default
6,127,130,6286,136,2.2844336765596607,2.1723794781070325,0.05792969452546809,MP:0014545,increased phosphate level,MP:0005376,homeostasis/metabolism phenotype,0.1255870955649388,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003,default
1,132,2,6414,3,24.295454545454547,16.413533834586467,0.05970534051447911,MP:0005535,abnormal body temperature,MP:0005376,homeostasis/metabolism phenotype,0.1255870955649388,False,independent,GMC_914_001; IMPC_ECH_001,default
1,132,2,6414,3,24.295454545454547,16.413533834586467,0.05970534051447911,MP:0011894,decreased circulating transferrin level,MP:0005376,homeostasis/metabolism phenotype,0.1255870955649388,False,independent,IMPC_CBC_002,default
1,132,2,6414,3,24.295454545454547,16.413533834586467,0.05970534051447911,MP:0011897,decreased circulating unsaturated transferrin level,MP:0005376,homeostasis/metabolism phenotype,0.1255870955649388,False,independent,IMPC_CBC_002,default
4,129,71,6345,75,2.77104487389453,2.6261654135338346,0.06553360581984721,MP:0010086,abnormal circulating fructosamine level,MP:0005376,homeostasis/metabolism phenotype,0.13628011210263682,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; M-G-P_025_001,default
2,131,19,6397,21,5.140216954600241,4.689581095596133,0.06685922143403605,MP:0005632,decreased circulating aspartate transaminase level,MP:0005376,homeostasis/metabolism phenotype,0.1374745789036921,False,independent,IMPC_CBC_003; JAXLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
10,123,279,6137,289,1.7883264854153917,1.7038270416525743,0.0686427057793515,MP:0005291,abnormal glucose tolerance,MP:0005376,homeostasis/metabolism phenotype,0.13957350175134803,False,independent,BCMLA_IPG_001; HMGULA_IPG_001; HRWLLA_IPG_001; IMPC_IPG_001; JAXLA_IPG_001; KMPCLA_IPG_001; MGP_IPG_001; TCPLA_IPG_001; UCDLA_IPG_001,default
2,131,20,6396,22,4.882442748091603,4.4764183185235815,0.0725943563419587,MP:0010087,increased circulating fructosamine level,MP:0005376,homeostasis/metabolism phenotype,0.14598645286349937,False,independent,IMPC_CBC_001; IMPC_CBC_002; M-G-P_025_001,default
1,132,3,6413,4,16.194444444444443,12.310150375939848,0.0788100135532164,MP:0003351,decreased circulating levels of thyroid hormone,MP:0005376,homeostasis/metabolism phenotype,0.15181297347619582,False,independent,IMPC_CBC_001,default
1,132,3,6413,4,16.194444444444443,12.310150375939848,0.0788100135532164,MP:0005471,decreased thyroxine level,MP:0005376,homeostasis/metabolism phenotype,0.15181297347619582,False,independent,IMPC_CBC_001,default
1,132,3,6413,4,16.194444444444443,12.310150375939848,0.0788100135532164,MP:0005478,decreased circulating thyroxine level,MP:0005376,homeostasis/metabolism phenotype,0.15181297347619582,False,independent,IMPC_CBC_001,default
1,132,3,6413,4,16.194444444444443,12.310150375939848,0.0788100135532164,MP:0014528,decreased amino acid level,MP:0005376,homeostasis/metabolism phenotype,0.15181297347619582,False,independent,IMPC_CBC_001,default
6,127,149,6267,155,1.9871056386408075,1.906087800145525,0.09496724749086506,MP:0001776,abnormal circulating sodium level,MP:0005376,homeostasis/metabolism phenotype,0.17733679888600315,False,independent,ESLIM_015_001; GMC_906_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003,default
6,127,149,6267,155,1.9871056386408075,1.906087800145525,0.09496724749086506,MP:0011977,abnormal sodium ion homeostasis,MP:0005376,homeostasis/metabolism phenotype,0.17733679888600315,False,independent,ESLIM_015_001; GMC_906_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003,default
6,127,149,6267,155,1.9871056386408075,1.906087800145525,0.09496724749086506,MP:0020889,abnormal sodium level,MP:0005376,homeostasis/metabolism phenotype,0.17733679888600315,False,independent,ESLIM_015_001; GMC_906_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003,default
5,128,116,6300,121,2.1214978448275863,2.0347355993289007,0.09923192633870236,MP:0005553,increased circulating creatinine level,MP:0005376,homeostasis/metabolism phenotype,0.18342871232305585,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; ICSLA_CBC_003; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
7,126,189,6227,196,1.8303938859494415,1.7585929108485499,0.10331033639918077,MP:0001565,abnormal circulating phosphate level,MP:0005376,homeostasis/metabolism phenotype,0.18718605505990177,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; RBRCLA_CBC_003; UCDLA_CBC_003,default
7,126,189,6227,196,1.8303938859494415,1.7585929108485499,0.10331033639918077,MP:0020885,abnormal phosphate level,MP:0005376,homeostasis/metabolism phenotype,0.18718605505990177,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; RBRCLA_CBC_003; UCDLA_CBC_003,default
4,129,85,6331,89,2.30953032375741,2.2130607417419954,0.10658047012521489,MP:0005567,decreased circulating total protein level,MP:0005376,homeostasis/metabolism phenotype,0.19121790228347377,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
5,128,121,6295,126,2.032218491735537,1.9539921231650554,0.11280432820946025,MP:0013278,decreased fasting circulating glucose level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,HRWLLA_IPG_001; IMPC_IPG_001; KMPCLA_IPG_001; MGP_IPG_001; TCPLA_IPG_001; UCDLA_IPG_001,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0003350,increased circulating levels of thyroid hormone,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0005470,increased thyroxine level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0005477,increased circulating thyroxine level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0014455,decreased hormone level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001; IMPC_INS_003,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0014457,decreased circulating hormone level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001; IMPC_INS_003,default
1,132,5,6411,6,9.713636363636363,8.206766917293233,0.11587115979219859,MP:0014527,increased amino acid level,MP:0005376,homeostasis/metabolism phenotype,0.19453598387130588,False,independent,IMPC_CBC_001,default
3,130,56,6360,59,2.620879120879121,2.5037593984962405,0.11751445170399495,MP:0002965,increased circulating serum albumin level,MP:0005376,homeostasis/metabolism phenotype,0.19550131510755522,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; M-G-P_025_001,default
7,126,201,6215,208,1.7177998894416804,1.6571356275303644,0.12983330943858143,MP:0005332,abnormal amino acid level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; ICSLA_CBC_003; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_URI_001; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
3,130,59,6357,62,2.486440677966102,2.3826097501819063,0.13103201065483386,MP:0003953,abnormal hormone level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,IMPC_CBC_001; IMPC_INS_002; IMPC_INS_003,default
3,130,59,6357,62,2.486440677966102,2.3826097501819063,0.13103201065483386,MP:0005418,abnormal circulating hormone level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,IMPC_CBC_001; IMPC_INS_002; IMPC_INS_003,default
7,126,202,6214,209,1.709020902090209,1.6492067489297406,0.13218674586898657,MP:0005343,increased circulating aspartate transaminase level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
9,124,280,6136,289,1.590552995391705,1.5334443374873168,0.13256430560539037,MP:0005559,increased circulating glucose level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,BCMLA_IPG_001; ESLIM_015_001; ESLIM_021_001; HRWLLA_IPG_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; IMPC_IPG_001; JAXLA_IPG_001; JAX_PLC_001; KMPCLA_IPG_001; M-G-P_025_001; MGP_IPG_001,default
1,132,6,6410,7,8.093434343434344,7.0343716433942,0.13384290604737778,MP:0011468,abnormal urine amino acid level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,JAX_URI_001,default
1,132,6,6410,7,8.093434343434344,7.0343716433942,0.13384290604737778,MP:0011469,abnormal urine creatinine level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,JAX_URI_001,default
1,132,6,6410,7,8.093434343434344,7.0343716433942,0.13384290604737778,MP:0011471,decreased urine creatinine level,MP:0005376,homeostasis/metabolism phenotype,0.20756993056500114,False,independent,JAX_URI_001,default
3,130,63,6353,66,2.3271062271062273,2.2382091592617908,0.14985419265514427,MP:0005566,decreased blood urea nitrogen level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; M-G-P_025_001,default
3,130,63,6353,66,2.3271062271062273,2.2382091592617908,0.14985419265514427,MP:0014811,decreased circulating urea level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; M-G-P_025_001,default
6,127,171,6245,177,1.7253764332090067,1.669172932330827,0.15043852174563438,MP:0001569,abnormal circulating bilirubin level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
1,132,7,6409,8,6.936147186147186,6.155075187969924,0.15145203070278881,MP:0001758,abnormal urine glucose level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,JAX_URI_001,default
1,132,7,6409,8,6.936147186147186,6.155075187969924,0.15145203070278881,MP:0003440,decreased glycerol level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_021_001; IMPC_CBC_001; M-G-P_025_001,default
1,132,7,6409,8,6.936147186147186,6.155075187969924,0.15145203070278881,MP:0003441,increased glycerol level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_021_001; IMPC_CBC_001; M-G-P_025_001,default
1,132,7,6409,8,6.936147186147186,6.155075187969924,0.15145203070278881,MP:0003442,decreased circulating glycerol level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_021_001; IMPC_CBC_001; M-G-P_025_001,default
1,132,7,6409,8,6.936147186147186,6.155075187969924,0.15145203070278881,MP:0003443,increased circulating glycerol level,MP:0005376,homeostasis/metabolism phenotype,0.21996604459214567,False,independent,ESLIM_021_001; IMPC_CBC_001; M-G-P_025_001,default
1,132,8,6408,9,6.068181818181818,5.471177944862155,0.16870579616931217,MP:0011892,abnormal circulating transferrin level,MP:0005376,homeostasis/metabolism phenotype,0.24119656796081348,False,independent,IMPC_CBC_002,default
1,132,8,6408,9,6.068181818181818,5.471177944862155,0.16870579616931217,MP:0011895,abnormal circulating unsaturated transferrin level,MP:0005376,homeostasis/metabolism phenotype,0.24119656796081348,False,independent,IMPC_CBC_002,default
5,128,140,6276,145,1.7511160714285714,1.6979517759917033,0.17172961155952604,MP:0005344,increased circulating bilirubin level,MP:0005376,homeostasis/metabolism phenotype,0.243616425700723,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
4,129,105,6311,109,1.8637135474344777,1.8069945505966751,0.180368888955237,MP:0001770,abnormal iron level,MP:0005376,homeostasis/metabolism phenotype,0.2500568687788513,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; RBRCLA_CBC_003,default
4,129,105,6311,109,1.8637135474344777,1.8069945505966751,0.180368888955237,MP:0004152,abnormal circulating iron level,MP:0005376,homeostasis/metabolism phenotype,0.2500568687788513,False,independent,ESLIM_015_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; RBRCLA_CBC_003,default
4,129,105,6311,109,1.8637135474344777,1.8069945505966751,0.180368888955237,MP:0005637,abnormal iron homeostasis,MP:0005376,homeostasis/metabolism phenotype,0.2500568687788513,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; RBRCLA_CBC_003,default
7,126,222,6194,229,1.55005005005005,1.5051712250057458,0.18352701250621298,MP:0013279,increased fasting circulating glucose level,MP:0005376,homeostasis/metabolism phenotype,0.25252212998975165,False,independent,BCMLA_IPG_001; HRWLLA_IPG_001; IMPC_IPG_001; JAXLA_IPG_001; KMPCLA_IPG_001; MGP_IPG_001,default
3,130,75,6341,78,1.9510769230769232,1.8938692886061306,0.21073235768509546,MP:0005627,increased circulating potassium level,MP:0005376,homeostasis/metabolism phenotype,0.287791204898302,False,independent,ESLIM_015_001; GMC_906_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; TCPLA_CBC_003,default
1,132,11,6405,12,4.411157024793388,4.103383458646617,0.21840541317826836,MP:0011436,decreased urine magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.2960606711972082,False,independent,JAX_URI_001,default
6,127,195,6221,201,1.5072077528770442,1.4698687016047582,0.22392367425279788,MP:0005311,abnormal circulating amino acid level,MP:0005376,homeostasis/metabolism phenotype,0.30130906167839716,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; ICSLA_CBC_003; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
1,132,12,6404,13,4.042929292929293,3.787738577212261,0.23430752118611456,MP:0010092,increased circulating magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.31071214765984756,False,independent,IMPC_CBC_001; M-G-P_025_001,default
1,132,12,6404,13,4.042929292929293,3.787738577212261,0.23430752118611456,MP:0031659,increased magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.31071214765984756,False,independent,IMPC_CBC_001; M-G-P_025_001,default
2,131,44,6372,46,2.2109646079111727,2.1408957175547565,0.23967132001551256,MP:0003020,decreased circulating chloride level,MP:0005376,homeostasis/metabolism phenotype,0.3155385004520777,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
1,132,13,6403,14,3.7313519813519815,3.5171858216971,0.2498884727898854,MP:0011434,abnormal urine magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.32663993228963595,False,independent,JAX_URI_001,default
7,126,250,6166,257,1.3702222222222222,1.3411836985459757,0.26680170693340766,MP:0002941,increased circulating alanine transaminase level,MP:0005376,homeostasis/metabolism phenotype,0.34627455580718863,False,independent,ESLIM_015_001; GMC_906_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003,default
2,131,51,6365,53,1.9054033827271366,1.8581359058022413,0.2926611497342328,MP:0010088,decreased circulating fructosamine level,MP:0005376,homeostasis/metabolism phenotype,0.377161904234962,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; M-G-P_025_001,default
7,126,260,6156,267,1.3153846153846154,1.2909520993494974,0.29887455289546233,MP:0001573,abnormal circulating alanine transaminase level,MP:0005376,homeostasis/metabolism phenotype,0.3824758264326546,False,independent,ESLIM_015_001; GMC_906_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; KMPCLA_CBC_003; M-G-P_025_001; RBRCLA_CBC_003; TCPLA_CBC_003; UCDLA_CBC_003,default
2,131,54,6362,56,1.7986994628216002,1.75859291084855,0.31528140812688393,MP:0014454,increased hormone level,MP:0005376,homeostasis/metabolism phenotype,0.3979068806015156,False,independent,IMPC_CBC_001; IMPC_INS_002; IMPC_INS_003,default
2,131,54,6362,56,1.7986994628216002,1.75859291084855,0.31528140812688393,MP:0014456,increased circulating hormone level,MP:0005376,homeostasis/metabolism phenotype,0.3979068806015156,False,independent,IMPC_CBC_001; IMPC_INS_002; IMPC_INS_003,default
1,132,18,6398,19,2.692760942760943,2.591610605461021,0.3231967799502719,MP:0001771,abnormal circulating magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.3996284508844578,False,independent,IMPC_CBC_001; M-G-P_025_001,default
1,132,18,6398,19,2.692760942760943,2.591610605461021,0.3231967799502719,MP:0011979,abnormal magnesium ion homeostasis,MP:0005376,homeostasis/metabolism phenotype,0.3996284508844578,False,independent,IMPC_CBC_001; M-G-P_025_001,default
1,132,18,6398,19,2.692760942760943,2.591610605461021,0.3231967799502719,MP:0020883,abnormal magnesium level,MP:0005376,homeostasis/metabolism phenotype,0.3996284508844578,False,independent,IMPC_CBC_001; M-G-P_025_001,default
5,128,188,6228,193,1.2940492021276595,1.2756632513927304,0.3549633268371364,MP:0005328,abnormal circulating creatinine level,MP:0005376,homeostasis/metabolism phenotype,0.43596166987379836,False,independent,ESLIM_015_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; ICSLA_CBC_003; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; M-G-P_025_001; TCPLA_CBC_003; UCDLA_CBC_003,default
2,131,69,6347,71,1.4043588892576613,1.3870591972889972,0.4248800312534243,MP:0002644,decreased circulating triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.5149208325786533,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; M-G-P_025_001; UCDLA_CBC_003,default
2,131,69,6347,71,1.4043588892576613,1.3870591972889972,0.4248800312534243,MP:0005318,decreased triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.5149208325786533,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; M-G-P_025_001; UCDLA_CBC_003,default
2,131,70,6346,72,1.3840785169029444,1.3677944862155387,0.431888881801489,MP:0008806,increased circulating amylase level,MP:0005376,homeostasis/metabolism phenotype,0.5199714826952138,False,independent,ESLIM_015_001; GMC_906_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
1,132,27,6389,28,1.792648709315376,1.75859291084855,0.43768312307342355,MP:0001554,increased circulating free fatty acids level,MP:0005376,homeostasis/metabolism phenotype,0.5201039709249125,False,independent,ESLIM_021_001; IMPC_CBC_001; IMPC_CBC_003; JAX_PLC_001; M-G-P_025_001,default
1,132,27,6389,28,1.792648709315376,1.75859291084855,0.43768312307342355,MP:0005281,increased fatty acids level,MP:0005376,homeostasis/metabolism phenotype,0.5201039709249125,False,independent,ESLIM_021_001; IMPC_CBC_001; IMPC_CBC_003; JAX_PLC_001; M-G-P_025_001,default
4,129,163,6253,167,1.1895182384553193,1.1794156048804647,0.44171885310515535,MP:0005293,impaired glucose tolerance,MP:0005376,homeostasis/metabolism phenotype,0.5215132265693124,False,independent,BCMLA_IPG_001; HRWLLA_IPG_001; IMPC_IPG_001; JAXLA_IPG_001; KMPCLA_IPG_001; MGP_IPG_001; UCDLA_IPG_001,default
1,132,30,6386,31,1.6126262626262626,1.5884065001212708,0.4713976626804935,MP:0010090,increased circulating creatine kinase level,MP:0005376,homeostasis/metabolism phenotype,0.5494635176466899,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
1,132,30,6386,31,1.6126262626262626,1.5884065001212708,0.4713976626804935,MP:0020280,increased creatine kinase level,MP:0005376,homeostasis/metabolism phenotype,0.5494635176466899,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
4,129,174,6242,178,1.1123585494074668,1.1065303708709977,0.49103761808936314,MP:0000187,abnormal triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.5635845141059945,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; KMPCLA_CBC_003; M-G-P_025_001; UCDLA_CBC_003,default
4,129,174,6242,178,1.1123585494074668,1.1065303708709977,0.49103761808936314,MP:0011969,abnormal circulating triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.5635845141059945,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; HMGULA_CBC_002; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; KMPCLA_CBC_003; M-G-P_025_001; UCDLA_CBC_003,default
1,132,32,6384,33,1.5113636363636365,1.4921394395078607,0.49275148774294597,MP:0005635,decreased circulating bilirubin level,MP:0005376,homeostasis/metabolism phenotype,0.5635845141059945,False,independent,ESLIM_015_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001; UCDLA_CBC_003,default
1,132,33,6383,34,1.4653351698806245,1.4482529854046882,0.5031050869035024,MP:0010089,abnormal circulating creatine kinase level,MP:0005376,homeostasis/metabolism phenotype,0.5683224129835861,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
1,132,33,6383,34,1.4653351698806245,1.4482529854046882,0.5031050869035024,MP:0020279,abnormal creatine kinase level,MP:0005376,homeostasis/metabolism phenotype,0.5683224129835861,False,independent,ESLIM_015_001; HRWLLA_CBC_002; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; M-G-P_025_001,default
1,132,39,6377,40,1.2387334887334887,1.231015037593985,0.5609661766832086,MP:0009643,abnormal urine homeostasis,MP:0005376,homeostasis/metabolism phenotype,0.6297963824112096,False,independent,JAX_URI_001,default
1,132,49,6367,50,0.9843846629560915,0.984812030075188,0.6429116709924896,MP:0002079,increased circulating insulin level,MP:0005376,homeostasis/metabolism phenotype,0.7156816131390995,False,independent,IMPC_INS_002; IMPC_INS_003,default
2,131,106,6310,108,0.9088290364395795,0.9118629908103592,0.6491975288584181,MP:0001552,increased circulating triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.7156816131390995,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; KMPCLA_CBC_003; M-G-P_025_001,default
2,131,106,6310,108,0.9088290364395795,0.9118629908103592,0.6491975288584181,MP:0005317,increased triglyceride level,MP:0005376,homeostasis/metabolism phenotype,0.7156816131390995,False,independent,ESLIM_015_001; ESLIM_021_001; GMC_906_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; JAX_PLC_001; KMPCLA_CBC_003; M-G-P_025_001,default
1,132,51,6365,52,0.9454842543077837,0.9469346443030653,0.6573786244556261,MP:0001560,abnormal circulating insulin level,MP:0005376,homeostasis/metabolism phenotype,0.7203610076370035,False,independent,IMPC_INS_002; IMPC_INS_003,default
1,132,58,6358,59,0.8304597701149425,0.8345864661654135,0.7035808706934885,MP:0000198,decreased circulating phosphate level,MP:0005376,homeostasis/metabolism phenotype,0.7485773217262116,False,independent,ESLIM_015_001; IMPC_CBC_001; IMPC_CBC_002; IMPC_CBC_003; JAXLA_CBC_003; UCDLA_CBC_003,default
1,132,58,6358,59,0.8304597701149425,0.8345864661654135,0.7035808706934885,MP:0001553,abnormal circulating free fatty acids level,MP:0005376,homeostasis/metabolism phenotype,0.7485773217262116,False,independent,ESLIM_015_001; ESLIM_021_001; IMPC_CBC_001; IMPC_CBC_003; JAX_PLC_001; M-G-P_025_001,default
1,132,58,6358,59,0.8304597701149425,0.8345864661654135,0.7035808706934885,MP:0005280,abnormal fatty acids level,MP:0005376,homeostasis/metabolism phenotype,0.7485773217262116,False,independent,ESLIM_015_001; ESLIM_021_001; IMPC_CBC_001; IMPC_CBC_003; JAX_PLC_001; M-G-P_025_001,default
1,132,58,6358,59,0.8304597701149425,0.8345864661654135,0.7035808706934885,MP:0010358,abnormal free fatty acids level,MP:0005376,homeostasis/metabolism phenotype,0.7485773217262116,False,independent,ESLIM_015_001; ESLIM_021_001; IMPC_CBC_001; IMPC_CBC_003; JAX_PLC_001; M-G-P_025_001,default
