gene_symbol,allele_symbol,zygosity,center,total_control_count,male_control_count,female_control_count,control_status,male_analyzable,female_analyzable,both_sex_analyzable,male_total_mice,male_complete_data_mice,male_sufficient_sample,male_complete_data_sufficient,male_6kHz-evoked ABR Threshold_count,male_6kHz-evoked ABR Threshold_sufficient,male_12kHz-evoked ABR Threshold_count,male_12kHz-evoked ABR Threshold_sufficient,male_18kHz-evoked ABR Threshold_count,male_18kHz-evoked ABR Threshold_sufficient,male_24kHz-evoked ABR Threshold_count,male_24kHz-evoked ABR Threshold_sufficient,male_30kHz-evoked ABR Threshold_count,male_30kHz-evoked ABR Threshold_sufficient,female_total_mice,female_complete_data_mice,female_sufficient_sample,female_complete_data_sufficient,female_6kHz-evoked ABR Threshold_count,female_6kHz-evoked ABR Threshold_sufficient,female_12kHz-evoked ABR Threshold_count,female_12kHz-evoked ABR Threshold_sufficient,female_18kHz-evoked ABR Threshold_count,female_18kHz-evoked ABR Threshold_sufficient,female_24kHz-evoked ABR Threshold_count,female_24kHz-evoked ABR Threshold_sufficient,female_30kHz-evoked ABR Threshold_count,female_30kHz-evoked ABR Threshold_sufficient,status,total_groups,male_analyzable_groups,female_analyzable_groups,both_sex_analyzable_groups
Fcer1g,Fcer1g<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Retreg3,Retreg3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,860.0,434.0,426.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Hk3,Hk3<em1(IMPC)Tcp>,homozygote,TCP,588.0,293.0,295.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Med11,Med11<tm1.1(KOMP)Vlcg>,heterozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Rnf113a1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No experimental groups found,0.0,0.0,0.0,0.0
Sh3gl2,Sh3gl2<tm1b(EUCOMM)Wtsi>,homozygote,TCP,588.0,293.0,295.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Sycp3,Sycp3<tm1.1(KOMP)Vlcg>,homozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Ttc7,Ttc7<em1(IMPC)J>,heterozygote,JAX,2541.0,1264.0,1277.0,OK,True,True,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,4.0,True,True,4.0,True,4.0,True,4.0,True,4.0,True,4.0,True,,,,,
Il20rb,Il20rb<em2(IMPC)Mbp>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
Il20rb,Il20rb<tm1b(KOMP)Wtsi>,homozygote,UC Davis,574.0,285.0,289.0,OK,False,False,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,2.0,False,False,2.0,False,2.0,False,2.0,False,2.0,False,2.0,False,,,,,
