gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period
Ogdh,Ogdh<tm1e(KOMP)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2013-06-10/2013-06-10
Orc3,Orc3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-02-20/2012-02-20
Os9,Os9<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,4,54,44,452,454,2013-09-17/2013-11-20
Osbpl3,Osbpl3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2014-04-24/2014-05-06
Oxr1,Oxr1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2012-06-06/2012-08-20
Pabpc4,Pabpc4<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-08-15/2012-08-21
Pabpn1l,Pabpn1l<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-07-16/2013-07-16
Pacsin3,Pacsin3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-04-30/2012-06-11
Pbdc1,Pbdc1<tm2a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2013-03-05/2013-03-05
Pdk3,Pdk3<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-09-30/2013-10-15
Pdxk,Pdxk<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,2,2,54,44,452,454,2013-01-28/2013-01-28
Pear1,Pear1<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-06-03/2013-06-03
Phtf2,Phtf2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,2,54,44,452,454,2012-04-17/2012-06-25
Pias2,Pias2<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2013-03-18/2013-06-25
Pld5,Pld5<tm1b(KOMP)Wtsi>,homozygote,WTSI,3,1,21,22,29,25,2012-03-14/2012-04-19
Pls3,Pls3<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2013-08-05/2013-08-05
Plxna2,Plxna2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-03-19/2013-03-19
Polr3f,Polr3f<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-10-28/2013-10-28
Pop4,Pop4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,3,1,54,44,452,454,2013-02-28/2013-04-29
Ppp1r42,Ppp1r42<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2012-07-02/2012-07-24
Praf2,Praf2<tm1e(EUCOMM)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-08-20/2012-08-20
Praf2,Praf2<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-09-17/2012-09-17
Pramex1,Pramex1<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2013-09-03/2013-11-19
Pth,Pth<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-09-17/2013-09-17
Pth2r,Pth2r<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-08-29/2012-08-29
Pthlh,Pthlh<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-07-29/2013-07-29
Rab15,Rab15<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-08-14/2012-08-29
Rab5c,Rab5c<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2012-11-29/2013-05-02
Ralb,Ralb<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-09-12/2012-10-16
Ralgapb,Ralgapb<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-11-22/2012-11-22
Ralgps2,Ralgps2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,54,44,452,454,2013-05-30/2013-07-11
Rasal2,Rasal2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-11-06/2013-02-25
Rasgrp4,Rasgrp4<tm2a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-04-04/2013-04-04
Rbm47,Rbm47<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-12-10/2013-12-10
Rbsn,Rbsn<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,3,1,54,44,452,454,2013-01-29/2013-04-08
Rdh16f2,Rdh16f2<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-05-23/2013-05-23
Reg3g,Reg3g<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-02-05/2013-02-05
Rnaseh2c,Rnaseh2c<tm1(KOMP)Wtsi>,heterozygote,WTSI,0,5,54,44,452,454,2012-05-14/2012-05-28
Rpgrip1l,Rpgrip1l<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-02-15/2012-02-15
Rsad1,Rsad1<tm1(KOMP)Vlcg>,homozygote,WTSI,4,0,54,44,452,454,2013-07-15/2013-07-15
Rtbdn,Rtbdn<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-06-12/2012-06-12
Rufy2,Rufy2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-03-06/2012-03-15
Rufy2,Rufy2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,2,54,44,452,454,2012-04-30/2012-06-11
Sag,Sag<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-03-14/2012-03-14
Scn3b,Scn3b<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2012-04-04/2012-04-04
Sec1,Sec1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2012-10-03/2013-01-14
Sec22b,Sec22b<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-01-14/2013-02-14
Secisbp2,Secisbp2<tm1c(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-05-01/2012-05-01
Seh1l,Seh1l<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,1,3,54,44,452,454,2012-08-07/2012-08-07
Sel1l,Sel1l<tm1e(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-10-17/2012-10-17
Serpina3c,Serpina3c<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-08-01/2013-08-01
Sgms1,Sgms1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-08-19/2013-08-27
Sh2d5,Sh2d5<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-06-27/2013-06-27
Sirt3,Sirt3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,1,5,54,44,452,454,2012-02-20/2012-03-05
Skida1,Skida1<tm1(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-12-04/2012-12-04
Slc16a6,Slc16a6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-11-27/2013-02-21
Slc1a4,Slc1a4<tm1e(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2012-12-18/2013-01-02
Slc25a21,Slc25a21<tm1d(KOMP)Wtsi>,homozygote,WTSI,4,1,8,3,29,25,2012-03-07/2012-04-30
Slc25a30,Slc25a30<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-06-25/2013-06-25
Slc25a4,Slc25a4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2012-06-19/2012-06-25
Slc38a10,Slc38a10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,2,54,44,452,454,2012-02-29/2012-05-10
Slc5a7,Slc5a7<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-09-02/2013-09-02
Slc66a3,Slc66a3<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-07-18/2013-07-18
Smyd5,Smyd5<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,2,54,44,452,454,2012-04-26/2012-07-11
Snap47,Snap47<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-05-09/2012-05-09
Spink10,Spink10<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-04-02/2013-04-02
Spns2,Spns2<tm1b(KOMP)Wtsi>,homozygote,WTSI,2,6,21,22,29,25,2012-02-21/2012-04-03
Spopl,Spopl<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,3,54,44,452,454,2012-08-29/2012-10-01
Srrm4,Srrm4<tm1e(EUCOMM)Wtsi>,heterozygote,WTSI,6,1,54,44,452,454,2013-03-22/2013-05-07
Srrm4,Srrm4<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,1,2,54,44,452,454,2013-04-29/2013-05-31
Srsf7,Srsf7<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,3,5,54,44,452,454,2013-12-03/2014-01-07
Ssbp1,Ssbp1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-05-28/2013-05-28
Syt1,Syt1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2012-06-19/2012-09-10
Syt16,Syt16<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,3,1,54,44,452,454,2013-04-11/2013-04-11
Tceal9,Tceal9<tm1a(KOMP)Wtsi>,hemizygote,WTSI,0,4,54,44,452,454,2012-10-09/2012-10-09
Tcf4,Tcf4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,3,1,54,44,452,454,2012-12-05/2012-12-05
Tcf7l2,Tcf7l2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,54,44,452,454,2013-10-30/2013-10-30
Tcte1,Tcte1<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-03-26/2013-03-26
Tff1,Tff1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-02-23/2012-09-19
Tm9sf4,Tm9sf4<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,4,54,44,452,454,2012-02-21/2012-03-12
Tmem126a,Tmem126a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-11-13/2013-11-13
Tmem185a,Tmem185a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-06-18/2013-06-18
Tmem254,Tmem254<tm2a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-10-09/2013-10-09
Tnik,Tnik<tm3a(EUCOMM)Wtsi>,homozygote,WTSI,0,5,54,44,452,454,2012-03-20/2012-06-08
Traf2,Traf2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-11-19/2013-11-19
Traf6,Traf6<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2014-05-12/2014-05-12
Tram2,Tram2<tm1a(KOMP)Wtsi>,homozygote,WTSI,5,3,54,44,452,454,2013-08-05/2013-11-19
Trem1,Trem1<tm1(KOMP)Vlcg>,homozygote,WTSI,3,1,54,44,452,454,2014-02-19/2014-02-27
Trim17,Trim17<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-10-03/2012-10-03
Trp53rkb,Trp53rkb<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2014-01-28/2014-01-28
Tsfm,Tsfm<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-06-27/2012-06-27
Uri1,Uri1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-08-28/2013-08-28
Ush1c,Ush1c<tm1a(KOMP)Wtsi>,homozygote,WTSI,2,4,54,44,452,454,2012-09-24/2012-10-25
Ushbp1,Ushbp1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,3,54,44,452,454,2013-06-11/2013-07-08
Usp21,Usp21<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2013-05-13/2013-06-27
Usp24,Usp24<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,4,54,44,452,454,2013-03-11/2013-03-25
Virma,Virma<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-05-23/2013-05-23
Vps33b,Vps33b<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-11-26/2013-11-26
Vps51,Vps51<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,2,54,44,452,454,2013-09-30/2013-11-19
Vps53,Vps53<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-05-02/2012-05-02
Wdr37,Wdr37<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,54,44,452,454,2012-02-22/2012-04-10
Wdtc1,Wdtc1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,54,44,452,454,2014-05-22/2014-06-17
Wfdc18,Wfdc18<tm1a(KOMP)Wtsi>,homozygote,WTSI,0,6,54,44,452,454,2012-03-06/2012-05-10
Wnt3,Wnt3<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,3,3,54,44,452,454,2012-03-26/2012-09-05
Xndc1,Xndc1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,3,54,44,452,454,2012-05-03/2012-05-23
Xxylt1,Xxylt1<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,0,4,54,44,452,454,2014-02-10/2014-02-10
Zcchc14,Zcchc14<tm1a(KOMP)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2013-04-16/2013-04-16
Zcchc14,Zcchc14<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,2,54,44,452,454,2013-06-04/2013-06-04
Zfp791,Zfp791<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,54,44,452,454,2013-10-01/2013-10-30
Zscan10,Zscan10<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,0,4,54,44,452,454,2012-04-17/2012-04-17
Zscan2,Zscan2<tm1a(KOMP)Wtsi>,homozygote,WTSI,1,3,54,44,452,454,2013-04-18/2013-04-18
