gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mut_female,n_mut_male,n_ctrl_female,n_ctrl_male,centre_bg_pool_female,centre_bg_pool_male,mutant_test_period,shortage_mechanism
Itgal,Itgal<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-14/2021-11-03,Stimulus/equipment config
Kcnc4,Kcnc4<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-04-19/2021-04-19,Stimulus/equipment config
Lancl3,Lancl3<em1(IMPC)H>,hemizygote,MRC Harwell,0,2,0,0,442,434,2020-09-15/2020-09-15,Stimulus/equipment config
Lancl3,Lancl3<em1(IMPC)H>,homozygote,MRC Harwell,2,0,0,0,442,434,2020-09-14/2020-09-14,Stimulus/equipment config
Lgals3bp,Lgals3bp<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-08-31/2021-09-06,Stimulus/equipment config
Man2b1,Man2b1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-07/2021-09-07,Stimulus/equipment config
Mr1,Mr1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-07-06/2021-07-10,Stimulus/equipment config
Mras,Mras<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-14/2021-09-14,Stimulus/equipment config
Mtarc1,Mtarc1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-09-20/2021-09-22,Stimulus/equipment config
Nherf1,Nherf1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-06-08/2021-06-09,Stimulus/equipment config
Pappa,Pappa<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-10-19/2021-10-19,Stimulus/equipment config
Pde10a,Pde10a<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-07-14/2021-07-16,Stimulus/equipment config
Pm20d1,Pm20d1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2022-01-24/2022-01-25,Stimulus/equipment config
Ppp1r15a,Ppp1r15a<em2(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-10-12/2021-10-12,Stimulus/equipment config
Psd3,Psd3<em1(IMPC)H>,homozygote,MRC Harwell,2,0,34,36,442,434,2019-09-17/2019-09-17,Stimulus/equipment config
Robo3,Robo3<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2020-09-14/2020-09-15,Stimulus/equipment config
Scand1,Scand1<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2021-12-06/2021-12-06,Stimulus/equipment config
Scn11a,Scn11a<em1(IMPC)H>,homozygote,MRC Harwell,2,2,34,36,442,434,2019-07-09/2019-07-09,Stimulus/equipment config
Slc7a5,Slc7a5<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-09-27/2021-09-28,Stimulus/equipment config
Spag6l,Spag6l<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-08-31/2021-09-06,Stimulus/equipment config
Stat6,Stat6<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-08-26/2021-08-26,Stimulus/equipment config
Ugcg,Ugcg<em1(IMPC)H>,heterozygote,MRC Harwell,2,2,34,36,442,434,2021-08-09/2021-08-11,Stimulus/equipment config
