gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked,gene_classification
Tprn,Tprn<tm1.1(KOMP)Vlcg>,homozygote,JAX,30.496062992125985,0.749,0.535,0.957,8.0,2541.0,Tprn_Tprn<tm1.1(KOMP)Vlcg>_homozygote_JAX,46.772,45.985,54.354,45.558,33.96,3.3835616438356166,0.625,0.329,0.918,4.0,1264.0,Tprn_Tprn<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,42.459,40.563,47.726,39.468,30.8,3.5095828635851185,0.626,0.331,0.906,4.0,1277.0,Tprn_Tprn<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,43.788,41.491,47.815,39.97,30.8,Known
Otog,Otog<em1(IMPC)J>,homozygote,JAX,29.76923076923077,0.749,0.532,0.954,8.0,2541.0,Otog_Otog<em1(IMPC)J>_homozygote_JAX,33.592,39.751,37.516,33.556,26.873,3.6242774566473983,0.629,0.328,0.906,4.0,1264.0,Otog_Otog<em1(IMPC)J>_homozygote_JAX_male,30.797,37.498,33.839,31.469,23.319,3.393190554640308,0.627,0.342,0.922,4.0,1277.0,Otog_Otog<em1(IMPC)J>_homozygote_JAX_female,32.704,34.365,34.577,29.576,27.375,Known
Usp53,Usp53<em1(IMPC)Tcp>,homozygote,TCP,10.494252873563218,0.701,0.444,0.934,6.0,588.0,Usp53_Usp53<em1(IMPC)Tcp>_homozygote_TCP,46.879,61.51,56.311,46.648,33.713,1.9357798165137616,0.571,0.251,0.887,3.0,293.0,Usp53_Usp53<em1(IMPC)Tcp>_homozygote_TCP_male,42.688,57.607,52.623,41.719,31.109,1.8551034975017844,0.569,0.244,0.884,3.0,295.0,Usp53_Usp53<em1(IMPC)Tcp>_homozygote_TCP_female,43.777,59.168,53.031,43.142,30.738,Known
Minar2,Minar2<tm1b(KOMP)Wtsi>,homozygote,WTSI,30.872509960159363,0.75,0.531,0.956,8.0,904.0,Minar2_Minar2<tm1b(KOMP)Wtsi>_homozygote_WTSI,57.951,70.463,67.984,59.125,45.408,3.345464421510049,0.623,0.323,0.914,4.0,453.0,Minar2_Minar2<tm1b(KOMP)Wtsi>_homozygote_WTSI_male,53.712,64.98,64.5,54.094,39.963,3.39802089059923,0.625,0.333,0.912,4.0,451.0,Minar2_Minar2<tm1b(KOMP)Wtsi>_homozygote_WTSI_female,53.524,64.173,60.967,52.272,38.888,Known
Phf10,Phf10<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,26.303754266211605,0.742,0.514,0.942,8.0,1804.0,Phf10_Phf10<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU,19.132,14.746,13.69,16.228,17.94,3.3883708173340645,0.622,0.33,0.906,4.0,920.0,Phf10_Phf10<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_male,16.875,16.064,15.074,16.523,16.6,0.8058690744920993,0.472,0.123,0.82,4.0,884.0,Phf10_Phf10<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_female,23.142,17.839,16.848,19.304,21.01,Novel
Col9a3,Col9a3<em1(IMPC)Tcp>,homozygote,TCP,10.157601115760112,0.699,0.444,0.939,6.0,588.0,Col9a3_Col9a3<em1(IMPC)Tcp>_homozygote_TCP,9.411,6.908,12.017,15.173,13.337,1.7845457709711103,0.567,0.245,0.893,3.0,293.0,Col9a3_Col9a3<em1(IMPC)Tcp>_homozygote_TCP_male,10.162,5.98,12.347,16.257,14.913,1.1197668256491786,0.516,0.187,0.873,3.0,295.0,Col9a3_Col9a3<em1(IMPC)Tcp>_homozygote_TCP_female,12.17,11.432,13.712,15.929,14.666,Known
Myo6,Myo6<em1(IMPC)Tcp>,homozygote,TCP,3.429678848283499,0.625,0.344,0.928,4.0,588.0,Myo6_Myo6<em1(IMPC)Tcp>_homozygote_TCP,44.963,59.955,54.561,44.455,32.13,,,,,,,,,,,,,,,,,,,,,,,,,Known
Mcidas,Mcidas<em2(IMPC)Tcp>,homozygote,TCP,26.491408934707906,0.749,0.516,0.952,8.0,588.0,Mcidas_Mcidas<em2(IMPC)Tcp>_homozygote_TCP,22.586,20.552,19.699,18.877,14.858,3.4272274488101826,0.626,0.326,0.916,4.0,293.0,Mcidas_Mcidas<em2(IMPC)Tcp>_homozygote_TCP_male,20.089,16.655,18.284,17.431,15.632,3.4717719396310787,0.625,0.34,0.926,4.0,295.0,Mcidas_Mcidas<em2(IMPC)Tcp>_homozygote_TCP_female,24.597,24.482,21.174,20.717,15.861,Novel
Otogl,Otogl<em1(IMPC)J>,homozygote,JAX,17.433179723502302,0.726,0.494,0.946,7.0,2541.0,Otogl_Otogl<em1(IMPC)J>_homozygote_JAX,43.832,45.117,53.241,42.586,33.442,1.9553010712966383,0.573,0.244,0.882,3.0,1264.0,Otogl_Otogl<em1(IMPC)J>_homozygote_JAX_male,36.118,38.123,44.564,33.833,29.404,3.3313481321061182,0.625,0.331,0.912,4.0,1277.0,Otogl_Otogl<em1(IMPC)J>_homozygote_JAX_female,43.789,41.448,47.82,39.982,30.802,Known
Homer2,Homer2<em1(IMPC)J>,homozygote,JAX,29.76923076923077,0.75,0.532,0.953,8.0,2541.0,Homer2_Homer2<em1(IMPC)J>_homozygote_JAX,29.446,29.307,48.51,31.819,21.637,3.63768115942029,0.626,0.339,0.92,4.0,1264.0,Homer2_Homer2<em1(IMPC)J>_homozygote_JAX_male,25.391,26.959,44.605,29.448,19.919,3.4717719396310787,0.625,0.324,0.914,4.0,1277.0,Homer2_Homer2<em1(IMPC)J>_homozygote_JAX_female,30.923,28.091,41.594,28.875,22.578,Known
Ppp1r14a,Ppp1r14a<em1(IMPC)Marc>,homozygote,MARC,3.333694474539545,0.624,0.328,0.909,4.0,147.0,Ppp1r14a_Ppp1r14a<em1(IMPC)Marc>_homozygote_MARC,6.842,12.494,8.114,29.036,26.778,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Brd2,Brd2<em1(IMPC)Wtsi>,heterozygote,WTSI,4.449591280653951,0.646,0.355,0.92,6.0,904.0,Brd2_Brd2<em1(IMPC)Wtsi>_heterozygote_WTSI,3.839,7.006,4.106,14.768,31.569,,,,,,,,,,,,,0.034393586759762,0.146,0.0,0.41,4.0,451.0,Brd2_Brd2<em1(IMPC)Wtsi>_heterozygote_WTSI_female,19.116,19.34,19.148,19.541,20.351,Candidate
Enpp1,Enpp1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,18.464720194647203,0.728,0.492,0.946,10.0,2953.0,Enpp1_Enpp1<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,26.949,13.883,10.809,15.231,11.662,4.194805194805195,0.64,0.352,0.918,5.0,1480.0,Enpp1_Enpp1<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,26.283,16.069,11.21,14.022,14.74,0.3698630136986301,0.392,0.102,0.736,5.0,1473.0,Enpp1_Enpp1<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,28.172,17.648,17.763,23.003,17.778,Novel
Gipc3,Gipc3<tm1b(KOMP)Wtsi>,homozygote,JAX,52.69127516778523,0.769,0.562,0.961,9.0,2541.0,Gipc3_Gipc3<tm1b(KOMP)Wtsi>_homozygote_JAX,47.283,46.704,55.245,46.391,34.477,5.861063464837049,0.667,0.401,0.94,5.0,1264.0,Gipc3_Gipc3<tm1b(KOMP)Wtsi>_homozygote_JAX_male,43.794,42.319,50.018,41.478,31.931,3.37636761487965,0.625,0.334,0.91,4.0,1277.0,Gipc3_Gipc3<tm1b(KOMP)Wtsi>_homozygote_JAX_female,43.829,41.422,47.843,39.992,30.839,Known
Triobp,Triobp<em1(IMPC)J>,homozygote,JAX,17.867924528301888,0.728,0.495,0.95,7.0,2541.0,Triobp_Triobp<em1(IMPC)J>_homozygote_JAX,46.17,45.166,53.248,44.486,33.431,1.9618659755646053,0.573,0.252,0.872,3.0,1264.0,Triobp_Triobp<em1(IMPC)J>_homozygote_JAX_male,40.524,38.169,44.544,36.877,29.4,3.610951008645533,0.626,0.343,0.923,4.0,1277.0,Triobp_Triobp<em1(IMPC)J>_homozygote_JAX_female,43.745,41.448,47.825,39.984,30.814,Known
Fbxl8,Fbxl8<em2(IMPC)Marc>,homozygote,MARC,3.484304932735426,0.625,0.333,0.917,4.0,147.0,Fbxl8_Fbxl8<em2(IMPC)Marc>_homozygote_MARC,10.639,10.163,8.958,35.16,26.783,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Dctd,Dctd<em1(IMPC)Marc>,homozygote,MARC,3.422332780541736,0.625,0.321,0.901,4.0,147.0,Dctd_Dctd<em1(IMPC)Marc>_homozygote_MARC,12.825,15.84,19.128,35.166,26.781,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Tmtc4,Tmtc4<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.326663061114116,0.624,0.317,0.903,4.0,569.0,Tmtc4_Tmtc4<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,40.078,50.86,56.098,46.12,32.441,,,,,,,,,,,,,,,,,,,,,,,,,Known
Bod1,Bod1<tm1b(KOMP)Wtsi>,heterozygote,MARC,3.4077134986225897,0.625,0.336,0.905,4.0,147.0,Bod1_Bod1<tm1b(KOMP)Wtsi>_heterozygote_MARC,7.663,10.641,5.65,30.461,26.779,,,,,,,,,,,,,,,,,,,,,,,,,Candidate
Ube2w,Ube2w<tm1b(EUCOMM)Wtsi>,homozygote,MARC,3.4198895027624308,0.625,0.325,0.91,4.0,147.0,Ube2w_Ube2w<tm1b(EUCOMM)Wtsi>_homozygote_MARC,26.447,18.293,25.509,35.158,26.862,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Rap1gap2,Rap1gap2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,9.95890410958904,0.7,0.445,0.938,6.0,1512.0,Rap1gap2_Rap1gap2<tm1b(EUCOMM)Hmgu>_homozygote_ICS,15.367,15.199,21.842,38.072,26.74,1.861230329041488,0.572,0.241,0.88,3.0,767.0,Rap1gap2_Rap1gap2<tm1b(EUCOMM)Hmgu>_homozygote_ICS_male,20.53,19.751,21.724,31.272,25.171,1.8808066258552392,0.57,0.257,0.882,3.0,745.0,Rap1gap2_Rap1gap2<tm1b(EUCOMM)Hmgu>_homozygote_ICS_female,12.256,12.264,21.101,34.237,23.257,Novel
Dnajc14,Dnajc14<tm1.1(KOMP)Vlcg>,homozygote,JAX,3.4617958728388176,0.619,0.337,0.886,7.0,2541.0,Dnajc14_Dnajc14<tm1.1(KOMP)Vlcg>_homozygote_JAX,4.319,6.009,24.627,15.811,14.365,0.8774935461159352,0.485,0.164,0.792,4.0,1264.0,Dnajc14_Dnajc14<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,6.903,11.66,24.366,18.456,17.766,0.3570822731128075,0.354,0.001,0.717,3.0,1277.0,Dnajc14_Dnajc14<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,12.318,11.879,23.097,17.107,16.522,Novel
Lsm14a,Lsm14a<tm1b(KOMP)Wtsi>,heterozygote,MARC,3.568817818389492,0.607,0.363,0.857,10.0,147.0,Lsm14a_Lsm14a<tm1b(KOMP)Wtsi>_heterozygote_MARC,4.534,5.908,5.086,17.866,26.642,0.0566635847312112,0.233,0.002,0.491,5.0,83.0,Lsm14a_Lsm14a<tm1b(KOMP)Wtsi>_heterozygote_MARC_male,13.248,16.319,16.726,20.638,22.335,3.5223289994347087,0.629,0.32,0.923,5.0,64.0,Lsm14a_Lsm14a<tm1b(KOMP)Wtsi>_heterozygote_MARC_female,8.234,8.238,4.577,19.418,25.794,Novel
Tmem145,Tmem145<em1(IMPC)Mbp>,homozygote,UC Davis,3.350190320826536,0.623,0.327,0.906,4.0,569.0,Tmem145_Tmem145<em1(IMPC)Mbp>_homozygote_UC Davis,31.783,33.618,56.089,47.014,32.498,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Herc4,Herc4<tm1b(KOMP)Wtsi>,homozygote,MARC,3.350190320826536,0.623,0.327,0.904,4.0,147.0,Herc4_Herc4<tm1b(KOMP)Wtsi>_homozygote_MARC,26.364,20.326,19.927,25.266,26.746,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Fosb,Fosb<tm1b(KOMP)Wtsi>,homozygote,UC Davis,3.0878896269800715,0.617,0.309,0.903,4.0,569.0,Fosb_Fosb<tm1b(KOMP)Wtsi>_homozygote_UC Davis,18.145,17.869,14.98,14.374,21.088,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Kdm5a,Kdm5a<em1(IMPC)Marc>,heterozygote,MARC,3.4272274488101826,0.624,0.327,0.908,4.0,147.0,Kdm5a_Kdm5a<em1(IMPC)Marc>_heterozygote_MARC,12.792,15.898,9.781,14.83,26.747,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Ccdc92,Ccdc92<tm1b(KOMP)Mbp>,homozygote,UC Davis,3.352557127312296,0.622,0.309,0.902,4.0,569.0,Ccdc92_Ccdc92<tm1b(KOMP)Mbp>_homozygote_UC Davis,22.637,19.905,15.718,20.034,21.715,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Mreg,Mreg<tm1b(EUCOMM)Hmgu>,homozygote,KMPC,3.489337822671156,0.626,0.337,0.918,4.0,340.0,Mreg_Mreg<tm1b(EUCOMM)Hmgu>_homozygote_KMPC,11.15,4.76,12.923,40.692,25.49,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Klhdc7b,Klhdc7b<em1(IMPC)H>,homozygote,MRC Harwell,3.3739748496446147,0.625,0.332,0.911,4.0,323.0,Klhdc7b_Klhdc7b<em1(IMPC)H>_homozygote_MRC Harwell,27.434,26.87,29.005,25.777,22.643,,,,,,,,,,,,,,,,,,,,,,,,,Candidate
Nin,Nin<tm1b(EUCOMM)Hmgu>,homozygote,RBRC,3.324324324324324,0.625,0.329,0.914,4.0,293.0,Nin_Nin<tm1b(EUCOMM)Hmgu>_homozygote_RBRC,21.537,32.982,45.748,36.483,28.212,3.25758382118148,0.623,0.322,0.91,4.0,236.0,Nin_Nin<tm1b(EUCOMM)Hmgu>_homozygote_RBRC_male,21.44,32.188,44.197,35.179,27.99,,,,,,,,,,,,,Candidate
Vti1a,Vti1a<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.496908375491849,0.627,0.34,0.916,4.0,569.0,Vti1a_Vti1a<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,21.994,19.859,19.862,15.058,21.156,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Scamp2,Scamp2<em1(IMPC)J>,homozygote,JAX,16.02127659574468,0.726,0.485,0.944,7.0,2541.0,Scamp2_Scamp2<em1(IMPC)J>_homozygote_JAX,42.639,45.19,53.237,44.503,33.402,1.9197080291970805,0.571,0.259,0.882,3.0,1264.0,Scamp2_Scamp2<em1(IMPC)J>_homozygote_JAX_male,33.877,38.153,44.562,36.867,29.352,3.329004329004329,0.625,0.328,0.906,4.0,1277.0,Scamp2_Scamp2<em1(IMPC)J>_homozygote_JAX_female,43.794,41.439,47.814,39.977,30.82,Novel
Relch,Relch<em1(IMPC)J>,homozygote,JAX,32.333333333333336,0.75,0.529,0.954,8.0,2541.0,Relch_Relch<em1(IMPC)J>_homozygote_JAX,13.159,30.681,33.658,23.429,24.243,3.5897877223178427,0.628,0.341,0.918,4.0,1264.0,Relch_Relch<em1(IMPC)J>_homozygote_JAX_male,11.91,26.908,26.856,20.724,23.984,3.287245444801715,0.623,0.319,0.909,4.0,1277.0,Relch_Relch<em1(IMPC)J>_homozygote_JAX_female,16.268,30.444,35.313,24.578,22.628,Novel
Tomt,Tomt<em1(IMPC)Tcp>,homozygote,TCP,3.4742729306487696,0.625,0.333,0.911,4.0,588.0,Tomt_Tomt<em1(IMPC)Tcp>_homozygote_TCP,44.943,59.975,54.543,44.421,32.152,,,,,,,,,,,,,,,,,,,,,,,,,Known
Cacna2d1,Cacna2d1<em1(IMPC)Mbp>,homozygote,UC Davis,3.221635883905013,0.621,0.331,0.925,4.0,569.0,Cacna2d1_Cacna2d1<em1(IMPC)Mbp>_homozygote_UC Davis,12.785,8.866,6.58,16.013,30.292,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Gata2,Gata2<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,3.4198895027624308,0.625,0.322,0.911,4.0,569.0,Gata2_Gata2<tm1b(KOMP)Wtsi>_heterozygote_UC Davis,24.64,26.776,19.854,14.243,13.011,,,,,,,,,,,,,,,,,,,,,,,,,Known
Adgrv1,Adgrv1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.5095828635851185,0.626,0.34,0.919,4.0,569.0,Adgrv1_Adgrv1<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,38.826,45.601,54.461,47.823,32.487,,,,,,,,,,,,,,,,,,,,,,,,,Known
Tmem51,Tmem51<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,3.412575841147269,0.626,0.335,0.914,4.0,323.0,Tmem51_Tmem51<tm1b(EUCOMM)Hmgu>_homozygote_MRC Harwell,24.505,26.455,29.08,28.728,22.966,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Ildr1,Ildr1<tm1(KOMP)Wtsi>,homozygote,WTSI,16.130620985010708,0.727,0.494,0.954,7.0,904.0,Ildr1_Ildr1<tm1(KOMP)Wtsi>_homozygote_WTSI,56.046,68.356,65.86,57.021,44.3,5.666666666666667,0.668,0.394,0.933,5.0,453.0,Ildr1_Ildr1<tm1(KOMP)Wtsi>_homozygote_WTSI_male,53.596,65.495,64.637,54.658,42.023,,,,,,,,,,,,,Novel
Zfp469,Zfp469<em1(IMPC)Mbp>,homozygote,UC Davis,3.36442989634479,0.624,0.313,0.904,4.0,569.0,Zfp469_Zfp469<em1(IMPC)Mbp>_homozygote_UC Davis,10.272,15.016,17.304,42.024,32.514,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Prdm5,Prdm5<em1(IMPC)Tcp>,homozygote,TCP,4.961251862891207,0.637,0.379,0.884,7.0,588.0,Prdm5_Prdm5<em1(IMPC)Tcp>_homozygote_TCP,7.284,9.197,12.76,13.759,10.873,0.4585232452142206,0.403,0.053,0.742,3.0,293.0,Prdm5_Prdm5<em1(IMPC)Tcp>_homozygote_TCP_male,10.533,10.823,13.462,16.22,15.372,3.175365344467641,0.617,0.311,0.906,4.0,295.0,Prdm5_Prdm5<em1(IMPC)Tcp>_homozygote_TCP_female,8.789,9.893,13.666,13.933,10.89,Candidate
Slc4a10,Slc4a10<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,3.46927374301676,0.626,0.333,0.909,4.0,858.0,Slc4a10_Slc4a10<tm1b(KOMP)Wtsi>_homozygote_MRC Harwell,26.704,19.169,26.286,27.727,21.915,,,,,,,,,,,,,,,,,,,,,,,,,Known
Tmem30b,Tmem30b<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,3.4868199663488504,0.627,0.33,0.913,4.0,569.0,Tmem30b_Tmem30b<tm1b(EUCOMM)Wtsi>_homozygote_UC Davis,15.484,37.667,48.801,49.421,32.487,,,,,,,,,,,,,,,,,,,,,,,,,Candidate
Pjvk,Pjvk<em1(IMPC)J>,homozygote,JAX,5.2015503875969,0.637,0.384,0.891,7.0,2541.0,Pjvk_Pjvk<em1(IMPC)J>_homozygote_JAX,42.065,44.064,42.328,35.723,28.982,0.524390243902439,0.429,0.122,0.752,3.0,1264.0,Pjvk_Pjvk<em1(IMPC)J>_homozygote_JAX_male,30.481,34.699,34.448,29.674,20.907,3.3835616438356166,0.624,0.329,0.921,4.0,1277.0,Pjvk_Pjvk<em1(IMPC)J>_homozygote_JAX_female,43.774,41.427,39.205,32.982,30.808,Novel
Ccdc88c,Ccdc88c<tm1.1(KOMP)Mbp>,homozygote,UC Davis,3.5610034207525656,0.627,0.336,0.913,4.0,569.0,Ccdc88c_Ccdc88c<tm1.1(KOMP)Mbp>_homozygote_UC Davis,18.043,16.433,25.662,35.311,32.5,,,,,,,,,,,,,,,,,,,,,,,,,Known
Oxsm,Oxsm<em2(IMPC)Marc>,heterozygote,MARC,3.381161007667032,0.627,0.32,0.904,4.0,147.0,Oxsm_Oxsm<em2(IMPC)Marc>_heterozygote_MARC,15.087,20.788,14.14,35.222,26.842,,,,,,,,,,,,,,,,,,,,,,,,,Novel
Clrn1,Clrn1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,3.501969611705121,0.625,0.33,0.908,4.0,569.0,Clrn1_Clrn1<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,40.07,50.89,56.101,49.512,32.504,,,,,,,,,,,,,,,,,,,,,,,,,Known
Cyb5r2,Cyb5r2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,6.2727272727272725,0.672,0.398,0.936,6.0,858.0,Cyb5r2_Cyb5r2<tm1b(EUCOMM)Hmgu>_homozygote_MRC Harwell,11.437,17.471,16.934,18.071,21.653,,,,,,,,,,,,,1.823861630780092,0.57,0.236,0.891,4.0,426.0,Cyb5r2_Cyb5r2<tm1b(EUCOMM)Hmgu>_homozygote_MRC Harwell_female,13.535,18.306,18.629,17.248,19.695,Novel
Ptchd1,Ptchd1<tm1b(KOMP)IcsOrl>,hemizygote,ICS,4.563282336578581,0.635,0.376,0.884,7.0,1512.0,Ptchd1_Ptchd1<tm1b(KOMP)IcsOrl>_hemizygote_ICS,8.341,6.446,13.516,37.601,26.513,4.9171597633136095,0.638,0.369,0.891,7.0,767.0,Ptchd1_Ptchd1<tm1b(KOMP)IcsOrl>_hemizygote_ICS_male,8.755,6.921,13.986,38.77,28.105,,,,,,,,,,,,,Novel
Pank2,Pank2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,5.866952789699571,0.644,0.404,0.885,10.0,2953.0,Pank2_Pank2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,8.849,8.699,10.241,27.892,21.567,1.4286581663630844,0.536,0.232,0.83,5.0,1480.0,Pank2_Pank2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,11.597,10.929,12.581,26.329,21.612,1.2002200220022,0.522,0.198,0.853,5.0,1473.0,Pank2_Pank2<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,10.124,10.613,11.324,26.239,21.011,Novel
Mkrn2,Mkrn2<tm1b(KOMP)Wtsi>,homozygote,WTSI,3.2038885969521806,0.596,0.354,0.835,10.0,904.0,Mkrn2_Mkrn2<tm1b(KOMP)Wtsi>_homozygote_WTSI,7.264,4.765,3.217,12.414,37.443,0.5293442936341044,0.438,0.144,0.723,5.0,453.0,Mkrn2_Mkrn2<tm1b(KOMP)Wtsi>_homozygote_WTSI_male,11.646,7.324,6.242,18.774,34.738,2.7209302325581395,0.604,0.301,0.897,5.0,451.0,Mkrn2_Mkrn2<tm1b(KOMP)Wtsi>_homozygote_WTSI_female,6.837,5.958,4.203,9.542,31.29,Candidate
Nptn,Nptn<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,3.3549265106151336,0.623,0.329,0.922,4.0,858.0,Nptn_Nptn<tm1b(EUCOMM)Hmgu>_homozygote_MRC Harwell,32.875,35.775,38.179,34.001,28.887,,,,,,,,,,,,,,,,,,,,,,,,,Known
Ocm,Ocm<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,29.18867924528302,0.751,0.532,0.958,8.0,904.0,Ocm_Ocm<tm1e(EUCOMM)Wtsi>_homozygote_WTSI,22.859,47.264,65.735,59.099,45.417,5.878761822871883,0.667,0.394,0.926,5.0,453.0,Ocm_Ocm<tm1e(EUCOMM)Wtsi>_homozygote_WTSI_male,22.567,44.045,64.622,56.213,42.084,1.896451846488052,0.571,0.261,0.88,3.0,451.0,Ocm_Ocm<tm1e(EUCOMM)Wtsi>_homozygote_WTSI_female,22.427,44.295,55.595,49.208,36.332,Novel
Mettl5,Mettl5<em1(IMPC)Hmgu>,heterozygote,HMGU,3999.0,0.857,0.724,0.98,19.0,1804.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_heterozygote_HMGU,14.284,14.791,12.523,16.47,17.747,88.88764044943821,0.786,0.588,0.961,10.0,920.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_heterozygote_HMGU_male,15.505,15.908,14.111,17.903,16.762,5.106870229007634,0.651,0.376,0.91,9.0,884.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_heterozygote_HMGU_female,15.98,15.377,13.123,16.47,20.422,Novel
Mettl5,Mettl5<em1(IMPC)Hmgu>,homozygote,HMGU,23.169184290030213,0.734,0.516,0.952,9.0,1804.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_homozygote_HMGU,20.58,20.709,19.06,19.687,19.053,7.105369807497467,0.685,0.422,0.945,6.0,920.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_homozygote_HMGU_male,19.927,18.189,17.575,18.398,18.124,1.9895366218236168,0.573,0.252,0.88,3.0,884.0,Mettl5_Mettl5<em1(IMPC)Hmgu>_homozygote_HMGU_female,20.759,23.918,21.262,21.701,21.09,Novel
Camsap3,Camsap3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,16.54385964912281,0.727,0.488,0.956,7.0,904.0,Camsap3_Camsap3<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,33.896,25.233,18.899,17.268,15.434,,,,,,,,,,,,,9.914051841746248,0.699,0.452,0.938,6.0,451.0,Camsap3_Camsap3<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_female,33.254,24.747,18.315,16.071,14.523,Known
Ush1c,Ush1c<tm1a(KOMP)Wtsi>,homozygote,WTSI,10.730205278592376,0.701,0.457,0.942,6.0,904.0,Ush1c_Ush1c<tm1a(KOMP)Wtsi>_homozygote_WTSI,56.419,68.496,65.405,56.98,43.057,3.424778761061947,0.625,0.334,0.913,4.0,453.0,Ush1c_Ush1c<tm1a(KOMP)Wtsi>_homozygote_WTSI_male,53.688,64.999,63.511,54.066,39.953,,,,,,,,,,,,,Novel
Cabp2,Cabp2<em1(IMPC)J>,homozygote,JAX,48.68944099378882,0.768,0.558,0.955,9.0,2541.0,Cabp2_Cabp2<em1(IMPC)J>_homozygote_JAX,40.576,46.663,52.17,36.989,28.33,5.90846286701209,0.666,0.387,0.924,5.0,1264.0,Cabp2_Cabp2<em1(IMPC)J>_homozygote_JAX_male,39.135,42.324,45.267,31.433,28.272,3.36442989634479,0.626,0.332,0.909,4.0,1277.0,Cabp2_Cabp2<em1(IMPC)J>_homozygote_JAX_female,36.412,41.444,47.809,35.753,24.632,Known
Tmprss2,Tmprss2<tm2b(EUCOMM)Hmgu>,homozygote,ICS,10.0803324099723,0.699,0.446,0.934,6.0,1512.0,Tmprss2_Tmprss2<tm2b(EUCOMM)Hmgu>_homozygote_ICS,12.17,7.702,8.188,29.936,26.205,1.7777777777777777,0.567,0.234,0.883,3.0,767.0,Tmprss2_Tmprss2<tm2b(EUCOMM)Hmgu>_homozygote_ICS_male,13.007,10.24,9.065,28.376,24.361,1.904865649963689,0.571,0.237,0.881,3.0,745.0,Tmprss2_Tmprss2<tm2b(EUCOMM)Hmgu>_homozygote_ICS_female,15.594,10.216,12.652,25.652,23.237,Novel
