gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Kcnh8,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Sun1,1,True,True,True,6.0,3.0,6.0,3.0,767.0,745.0
Awat2,1,False,False,False,,,,,,
Nwd2,1,True,True,True,8.0,8.0,6.0,6.0,1701.0,1745.0
Gzf1,2,False,True,False,2.0,3.0,2.0,3.0,293.0,295.0
Mpv17,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Klk6,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Luc7l3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Insyn2b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Asb5,1,True,True,True,7.0,7.0,6.0,4.0,1701.0,1745.0
Iqub,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Bysl,1,True,True,True,8.0,8.0,3.0,4.0,1701.0,1745.0
6820408C15Rik,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Prss12,1,True,False,False,7.0,8.0,5.0,2.0,1701.0,1745.0
Kbtbd11,1,True,True,True,8.0,8.0,7.0,8.0,1701.0,1745.0
Mief1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Rasgrf1,1,True,False,False,3.0,2.0,3.0,2.0,169.0,177.0
Htr1d,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ifngr1,1,False,True,False,0.0,4.0,0.0,4.0,285.0,289.0
Fam53b,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Prss35,1,True,True,True,8.0,8.0,8.0,7.0,1701.0,1745.0
Plcb4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ctdsp1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Ocstamp,1,True,True,True,5.0,4.0,5.0,4.0,1264.0,1277.0
Castor1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Trim13,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Hormad2,1,True,True,True,8.0,7.0,8.0,6.0,1701.0,1745.0
Morc3,1,True,True,True,3.0,8.0,3.0,8.0,767.0,745.0
Phactr3,1,True,True,True,4.0,4.0,3.0,4.0,959.0,950.0
Cd209c,1,True,True,True,8.0,8.0,7.0,7.0,1701.0,1745.0
Fbxw18,1,True,True,True,11.0,16.0,8.0,14.0,1701.0,1745.0
Rrp8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Klkb1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Stk38,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tex29,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ubash3a,2,False,True,False,3.0,4.0,2.0,4.0,475.0,485.0
Apoc4,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Epgn,1,True,True,True,3.0,5.0,3.0,5.0,1264.0,1277.0
Rspo4,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Tax1bp3,1,True,True,True,4.0,4.0,3.0,4.0,475.0,485.0
Cst6,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
H13,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Arpc1b,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Arap3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Spa17,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pla2g2d,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Scart2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Dnaaf1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Sla2,1,True,True,True,7.0,8.0,6.0,5.0,1701.0,1745.0
Arhgap30,1,True,False,False,3.0,0.0,3.0,0.0,454.0,452.0
Crym,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mir96,3,True,False,False,6.0,2.0,6.0,2.0,454.0,452.0
Ttc29,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cdk13,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Ncam2,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Slc52a2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Avl9,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pdk3,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Gpbp1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Ankrd9,1,True,False,False,7.0,1.0,7.0,1.0,454.0,452.0
Eif3f,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Bbc3,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Tspan14,1,False,False,False,2.0,1.0,2.0,0.0,169.0,177.0
Mroh8,1,True,True,True,8.0,8.0,8.0,6.0,1701.0,1745.0
Fam114a1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pccb,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ube2f,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Adora2b,2,True,True,True,5.0,4.0,5.0,4.0,1264.0,1277.0
Lrrc8c,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Osbpl10,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tmem164,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Dmd,2,True,True,False,4.0,4.0,4.0,4.0,959.0,950.0
Eif4g1,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Vgll4,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Tekt1,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Gck,1,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Dmxl2,1,True,False,False,5.0,1.0,5.0,1.0,454.0,452.0
Zdhhc22,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gjd4,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Fam53a,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Wdr45,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Lrrc49,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ppp4r3b,1,True,True,True,4.0,4.0,4.0,3.0,959.0,950.0
Casp8,1,True,True,True,8.0,8.0,7.0,8.0,1701.0,1745.0
Zfyve1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Stat1,1,True,True,True,8.0,8.0,8.0,8.0,767.0,745.0
Cactin,1,True,True,True,8.0,7.0,8.0,7.0,1701.0,1745.0
Lactb,1,True,True,True,5.0,7.0,5.0,5.0,475.0,485.0
Rlbp1,1,False,False,False,2.0,1.0,2.0,1.0,434.0,426.0
Ptp4a2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Lamp5,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Adgrf3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Nfkbil1,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Togaram1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Bud13,1,True,True,True,8.0,8.0,7.0,8.0,1701.0,1745.0
Zc3h12d,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Vwa5a,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Padi6,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Prss40,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Lins1,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Frmd7,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Top2a,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Pgap2,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Tmcc3,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
1700030J22Rik,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ppy,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Bbox1,3,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Srd5a2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Scara3,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Ppil3,1,True,False,False,7.0,0.0,7.0,0.0,454.0,452.0
Tmem63b,1,True,True,True,9.0,7.0,9.0,7.0,767.0,745.0
Strn4,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Lrrc17,1,True,True,True,8.0,8.0,7.0,8.0,1701.0,1745.0
Rbbp8nl,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Adrb3,1,True,True,True,4.0,4.0,4.0,4.0,209.0,211.0
Mybbp1a,1,False,True,False,2.0,4.0,2.0,4.0,475.0,485.0
Cnih2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gja8,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Cysltr1,1,False,False,False,,,,,,
Adgrd1,1,False,True,False,1.0,3.0,1.0,3.0,454.0,452.0
Dusp18,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
4930558K02Rik,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Fam72a,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Abce1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Larp7,1,True,True,True,5.0,5.0,5.0,5.0,767.0,745.0
Zer1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Specc1l,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Zbtb24,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Slc12a5,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Prss55,1,True,True,True,8.0,7.0,8.0,6.0,1701.0,1745.0
Lpp,2,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Nrcam,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mtmr2,1,True,True,True,4.0,4.0,3.0,4.0,959.0,950.0
Slitrk5,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Arg2,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Acyp1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Efna5,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Pygo2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Faxc,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Aptx,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Egr1,2,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Cacna1s,1,True,True,True,4.0,5.0,4.0,5.0,1264.0,1277.0
Alkbh6,1,True,True,True,4.0,4.0,4.0,3.0,959.0,950.0
Fam219a,1,True,True,True,7.0,8.0,6.0,7.0,1701.0,1745.0
Cdc27,1,True,True,True,3.0,8.0,3.0,8.0,767.0,745.0
Neil2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Amelx,3,True,True,False,7.0,11.0,7.0,11.0,1701.0,1745.0
Cndp2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ccdc146,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Dnajb3,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Tmem88,1,False,False,False,2.0,2.0,0.0,1.0,209.0,211.0
Med20,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Art4,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Dapk1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Atp10a,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Garin1a,1,True,True,True,9.0,8.0,9.0,8.0,1701.0,1745.0
Rln1,1,True,False,False,4.0,0.0,4.0,0.0,239.0,57.0
Gdf10,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Sec13,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Wwp1,2,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Poln,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Lrrc23,1,False,True,False,1.0,5.0,1.0,5.0,454.0,452.0
Dap3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Setd5,1,True,False,False,7.0,2.0,7.0,2.0,454.0,452.0
Rnf10,10,True,True,True,7.0,7.0,7.0,7.0,1264.0,1277.0
Zfp119a,1,False,False,False,,,,,,
Hmgn1,1,True,True,True,8.0,8.0,8.0,8.0,767.0,745.0
Alox5,1,True,True,True,8.0,8.0,7.0,7.0,1701.0,1745.0
Rnf125,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
Tusc3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Rnasek,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Atp6v0a4,1,True,False,False,4.0,0.0,4.0,0.0,239.0,57.0
Yae1d1,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Glycam1,2,True,True,True,6.0,5.0,6.0,5.0,1264.0,1277.0
Il3ra,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Masp1,1,True,False,False,3.0,2.0,3.0,2.0,1264.0,1277.0
Zbtb4,1,True,True,True,3.0,5.0,3.0,5.0,1264.0,1277.0
Epb41l1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Klk12,1,True,True,True,9.0,8.0,8.0,7.0,1701.0,1745.0
Stk16,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Prl7d1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Rnf5,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Ankrd13d,1,True,False,False,5.0,0.0,4.0,0.0,454.0,452.0
Krtap7-1,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Areg,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Gpr153,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Marco,1,False,True,False,4.0,4.0,2.0,4.0,475.0,485.0
Ecm1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Gsdmd,1,True,True,True,3.0,3.0,3.0,3.0,83.0,64.0
Ccl28,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Idua,1,False,False,False,4.0,4.0,0.0,0.0,959.0,950.0
Mmaa,1,False,True,False,2.0,4.0,2.0,4.0,1264.0,1277.0
Fam81a,1,True,True,True,8.0,8.0,5.0,6.0,1701.0,1745.0
1810055G02Rik,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Arrb2,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Spice1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Hcrt,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Cpm,1,True,True,True,8.0,8.0,8.0,8.0,1701.0,1745.0
Tmem170b,1,False,False,False,2.0,2.0,2.0,2.0,209.0,211.0
Tmie,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Dct,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Cystm1,1,True,True,True,4.0,4.0,3.0,4.0,475.0,485.0
Nav1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Fbxl19,1,False,True,False,2.0,3.0,2.0,3.0,83.0,64.0
Snx3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Garin2,1,True,True,True,8.0,7.0,7.0,7.0,1701.0,1745.0
Tgm6,1,False,True,False,0.0,5.0,0.0,5.0,454.0,452.0
Ccdc28a,1,True,True,True,5.0,3.0,5.0,3.0,1264.0,1277.0
Clock,1,True,True,True,8.0,7.0,8.0,7.0,1701.0,1745.0
Zfp750,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Bcl2l15,1,True,True,True,4.0,4.0,4.0,3.0,475.0,485.0
Cep170b,1,True,True,True,4.0,4.0,3.0,4.0,959.0,950.0
Slc20a2,4,True,True,True,4.0,5.0,4.0,5.0,475.0,485.0
Mrpl47,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Scel,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Dop1a,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Ifng,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Trim16,1,False,True,False,2.0,3.0,2.0,3.0,293.0,295.0
Rbm22,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Zcrb1,1,True,True,True,6.0,8.0,5.0,7.0,1701.0,1745.0
Slfn1,1,True,True,True,4.0,4.0,4.0,4.0,285.0,289.0
Klhl34,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Taok1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Thop1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Mindy3,1,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Ten1,1,True,True,True,4.0,9.0,4.0,8.0,959.0,950.0
Upf3b,1,False,False,False,,,,,,
Mettl16,1,True,True,True,4.0,6.0,4.0,6.0,1264.0,1277.0
Irf5,1,True,False,False,4.0,1.0,4.0,1.0,454.0,452.0
Atf2,1,True,True,True,14.0,12.0,10.0,10.0,1701.0,1745.0
Ube2u,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Aim2,1,True,True,True,8.0,8.0,7.0,7.0,1701.0,1745.0
Gzmk,1,True,True,True,6.0,8.0,6.0,8.0,767.0,745.0
Lamtor4,1,True,True,True,8.0,8.0,8.0,5.0,1701.0,1745.0
Mapkbp1,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Sbspon,1,True,True,True,8.0,8.0,7.0,5.0,1701.0,1745.0
Lysmd4,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Pcsk1n,1,False,False,False,,,,,,
Il1a,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ces1f,1,True,True,True,5.0,5.0,5.0,5.0,83.0,64.0
Adcy9,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Trpm6,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Dennd2c,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Svep1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Chchd2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Katnal1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Tex38,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Tmem131,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Reps2,2,True,True,False,4.0,4.0,4.0,4.0,1264.0,1277.0
Cep250,1,True,False,False,5.0,2.0,5.0,2.0,454.0,452.0
Enpp5,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gmds,1,True,False,False,6.0,1.0,6.0,1.0,454.0,452.0
Zfp113,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Rrs1,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Kif28,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Hspb2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mark4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Zfp821,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ypel2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Eepd1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Cdk17,2,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Bola2,2,True,True,True,3.0,3.0,3.0,3.0,83.0,64.0
Barx2,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Ifnar1,1,True,True,True,4.0,4.0,4.0,4.0,454.0,452.0
Cdk2ap2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Klf9,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Kprp,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Rtn4rl2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Usp21,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Szrd1,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Atp5mk,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Stx17,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Anks6,1,False,True,False,1.0,3.0,1.0,3.0,454.0,452.0
Atp5pb,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Tti1,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Nubp2,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Ube2o,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gm5148,2,True,True,True,8.0,5.0,8.0,5.0,1701.0,1745.0
Nmrk1,1,True,False,False,4.0,0.0,4.0,0.0,454.0,452.0
Ace,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Prss2,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Wnk2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pfkfb4,2,True,False,False,4.0,2.0,4.0,2.0,454.0,452.0
Bst2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Plcb1,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ik,1,False,False,False,2.0,2.0,1.0,2.0,209.0,211.0
Cdkn2aipnl,1,True,False,False,3.0,1.0,3.0,1.0,454.0,452.0
D7Ertd443e,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Zgrf1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Vegfb,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Msx1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Wdr17,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Slc9a5,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Aldh1a3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Tedc1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Lrrc15,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Csf2rb,1,True,True,True,9.0,7.0,9.0,7.0,767.0,745.0
Ints7,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pdf,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Or1e32,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Usp25,1,True,True,True,8.0,6.0,8.0,6.0,767.0,745.0
Blcap,1,True,True,True,3.0,3.0,3.0,3.0,1264.0,1277.0
Pgm1,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Mtch2,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
Arhgap20,1,True,False,False,4.0,2.0,4.0,2.0,1264.0,1277.0
Trpc5,1,False,False,False,,,,,,
Ngrn,1,False,True,False,0.0,4.0,0.0,4.0,454.0,452.0
Ptpn5,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Hs3st5,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Asxl2,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Morn5,1,True,True,True,3.0,4.0,3.0,4.0,1264.0,1277.0
Slx9,1,True,True,True,8.0,6.0,8.0,6.0,767.0,745.0
Kcng1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Fam81b,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Chst5,2,True,True,True,5.0,4.0,4.0,4.0,475.0,485.0
Nhlh1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Ablim2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pramel1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Efcab7,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Smim6,1,True,False,False,4.0,4.0,4.0,2.0,959.0,950.0
Blvrb,1,True,True,True,4.0,4.0,4.0,4.0,83.0,64.0
Myorg,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Slc25a12,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Htr3b,2,True,True,True,5.0,3.0,5.0,3.0,1264.0,1277.0
Tars2,1,False,False,False,2.0,2.0,2.0,2.0,209.0,211.0
Btbd3,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Tmem240,1,True,True,True,8.0,7.0,5.0,6.0,1701.0,1745.0
Ropn1l,1,True,True,True,4.0,4.0,4.0,4.0,454.0,452.0
Pde11a,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Tnrc6c,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Atp1a1,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Atg4b,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Usp37,2,True,False,False,4.0,2.0,4.0,2.0,454.0,452.0
Gnb1l,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Nudt16l1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Syne2,1,True,True,True,5.0,4.0,5.0,4.0,1264.0,1277.0
Pgc,1,True,True,True,8.0,8.0,8.0,7.0,1701.0,1745.0
Stau2,2,True,False,False,3.0,2.0,3.0,2.0,454.0,452.0
Glrb,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Prr5,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Pla2g2f,1,True,True,True,7.0,8.0,7.0,7.0,1701.0,1745.0
Emsy,1,True,True,True,7.0,7.0,7.0,7.0,1701.0,1745.0
Npcd,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Mpp1,1,True,True,True,8.0,8.0,5.0,8.0,1701.0,1745.0
Heg1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Actr8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Hcls1,1,True,True,True,7.0,8.0,7.0,8.0,1701.0,1745.0
Nub1,1,False,True,False,7.0,7.0,4.0,4.0,19.0,22.0
Enox1,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Prkab1,13,True,True,True,11.0,14.0,10.0,14.0,1701.0,1745.0
Dmap1,1,True,True,True,4.0,3.0,4.0,3.0,1264.0,1277.0
Scaper,1,True,True,True,7.0,8.0,7.0,8.0,767.0,745.0
Ctsk,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Inpp5a,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Mfn2,1,True,True,True,4.0,4.0,4.0,4.0,475.0,485.0
Pgm3,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Chst10,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Pcca,1,True,True,True,4.0,4.0,4.0,4.0,959.0,950.0
Tuba3a,1,False,False,False,2.0,2.0,2.0,2.0,454.0,452.0
Rergl,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
