gene_symbol,total_groups,male_analyzable,female_analyzable,both_sex_analyzable,max_male_mice,max_female_mice,max_male_complete_data,max_female_complete_data,max_male_controls,max_female_controls
Dctd,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Cog8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Gng13,2,False,True,False,2.0,3.0,2.0,3.0,293.0,295.0
Abo,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Fam43a,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Slx1b,1,True,True,True,6.0,3.0,6.0,3.0,767.0,745.0
Zswim5,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Cnpy1,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Htr7,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ptpra,1,True,True,True,3.0,3.0,3.0,3.0,767.0,745.0
Rbm3,1,False,False,False,,,,,,
Serpine3,1,False,True,False,2.0,4.0,2.0,4.0,1264.0,1277.0
Scrn3,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Galp,1,True,False,False,4.0,0.0,4.0,0.0,239.0,57.0
Fchsd2,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Msto1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Nfe2,1,True,True,True,8.0,7.0,8.0,7.0,1701.0,1745.0
Dtnbp1,1,False,True,False,0.0,4.0,0.0,4.0,293.0,295.0
Mettl22,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Usp10,1,False,False,False,2.0,2.0,2.0,2.0,83.0,64.0
Grp,1,False,False,False,2.0,2.0,2.0,2.0,169.0,177.0
Tmtc4,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Aanat,1,False,False,False,2.0,2.0,2.0,0.0,209.0,211.0
Ncald,1,True,True,True,6.0,4.0,6.0,4.0,1264.0,1277.0
Cysltr2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Cpa5,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Rab20,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Lmtk2,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Mmp8,1,True,True,True,4.0,4.0,4.0,4.0,1264.0,1277.0
Ift22,1,False,False,False,2.0,2.0,2.0,2.0,285.0,289.0
Ampd1,1,False,False,False,2.0,2.0,2.0,2.0,293.0,295.0
Kcnk13,1,True,False,False,3.0,1.0,3.0,1.0,169.0,177.0
Golga3,1,False,False,False,2.0,2.0,2.0,2.0,434.0,426.0
