gene_symbol,allele_symbol,zygosity,center,total_mice,mice_with_complete_data,control_count,control_status,6kHz-evoked ABR Threshold_count,12kHz-evoked ABR Threshold_count,18kHz-evoked ABR Threshold_count,24kHz-evoked ABR Threshold_count,30kHz-evoked ABR Threshold_count,6kHz-evoked ABR Threshold_mean,12kHz-evoked ABR Threshold_mean,18kHz-evoked ABR Threshold_mean,24kHz-evoked ABR Threshold_mean,30kHz-evoked ABR Threshold_mean
Fgf9,Fgf9<tm1b(KOMP)Wtsi>,heterozygote,JAX,7,7,2541,OK,7,7,7,7,7,52.142857142857146,49.285714285714285,43.57142857142857,46.42857142857143,56.42857142857143
Fndc3b,Fndc3b<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,16.25,18.75,35.0,55.0
Foxn1,Foxn1<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,3,3,574,OK,3,3,3,3,3,31.666666666666668,18.333333333333332,21.666666666666668,31.666666666666668,40.0
Fstl1,Fstl1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,32.5,17.5,27.5,21.25,38.75
Fuz,Fuz<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,45.0,25.0,31.25,38.75,51.25
Fzd4,Fzd4<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,48.75,32.5,30.0,42.5,48.75
G2e3,G2e3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,31.25,17.5,25.0,37.5,52.5
Gabpa,Gabpa<em2(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,30.0,32.5,38.75,56.25
Galt,Galt<em1(IMPC)H>,homozygote,MRC Harwell,4,4,70,OK,4,4,4,4,4,53.75,43.75,50.0,40.0,45.0
Gbgt1,Gbgt1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,23.75,26.25,32.5,58.75
Gdf2,Gdf2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,23.75,25.0,36.25,43.75
Gkn2,Gkn2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,18.75,23.75,37.5,65.0
Gnl1,Gnl1<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,23.75,27.5,37.5,50.0
Gnpda2,Gnpda2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,17.5,25.0,40.0,50.0
Golm2,Golm2<tm2b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,35.0,20.0,22.5,23.75,30.0
Gpr137,Gpr137<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,56.42857142857143,53.57142857142857,38.57142857142857,47.142857142857146,61.42857142857143
Gpr33,Gpr33<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,46.25,37.5,43.75,36.25,45.0
Gpsm2,Gpsm2<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,8,5,960,OK,7,8,8,8,5,50.714285714285715,36.875,41.25,50.0,69.0
Gpsm2,Gpsm2<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,3,0,960,OK,0,0,0,0,0,,,,,
Gpx5,Gpx5<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,23.75,27.5,42.5,71.25
Gramd2a,Gramd2a<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,21.25,28.75,42.5,50.0
Gramd2b,Gramd2b<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,52.5,48.75,33.125,47.5,61.25
Grik5,Grik5<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,26.25,26.25,31.25,55.0
Grp,Grp<em1(IMPC)H>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,55.0,46.25,43.75,42.5,58.75
Gsk3a,Gsk3a<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,1,960,OK,8,8,8,6,1,54.375,33.75,39.375,48.333333333333336,65.0
Hacl1,Hacl1<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,30.0,28.75,41.25,51.25
Hacl1,Hacl1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,28.75,12.5,16.25,27.5,46.25
Hdac2,Hdac2<em1(IMPC)Kmpc>,heterozygote,KMPC,4,2,420,OK,4,4,4,4,2,31.25,30.0,31.25,37.5,50.0
Hdac7,Hdac7<tm1b(EUCOMM)Hmgu>,heterozygote,KMPC,4,1,420,OK,4,4,4,4,1,30.0,30.0,28.75,50.0,85.0
Hdgfl1,Hdgfl1<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,35.0,20.0,27.5,36.25,50.0
Hip1,Hip1<em1(IMPC)Hmgu>,homozygote,HMGU,4,2,1909,OK,4,4,4,2,2,58.75,43.75,47.5,40.0,57.5
Hipk3,Hipk3<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,0,960,OK,7,7,1,0,0,56.42857142857143,50.714285714285715,70.0,,
Hk3,Hk3<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,28.75,37.5,50.0
Hmx2,Hmx2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,30.0,12.5,16.25,27.5,45.0
Hnrnpd,Hnrnpd<tm1b(KOMP)Wtsi>,heterozygote,MARC,5,5,147,OK,5,5,5,5,5,69.0,55.0,60.0,66.0,85.0
Hnrnpdl,Hnrnpdl<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,63.75,56.25,43.75,67.5,82.5
Htr4,Htr4<em2(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,57.5,50.0,43.75,83.75,95.0
Idh2,Idh2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,56.25,35.0,35.0,48.75,51.25
Ido2,Ido2<tm3a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,35.0,25.0,22.5,30.0,33.75
Idua,Idua<em1(IMPC)Hmgu>,homozygote,HMGU,8,0,1909,OK,3,6,5,4,0,68.33333333333333,60.0,59.0,73.75,
Ifi208,Ifi208<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,22.5,25.0,30.0,52.5
Ifitm1,Ifitm1<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,1,346,OK,3,4,4,4,1,51.666666666666664,47.5,40.0,45.0,75.0
Ifnk,Ifnk<tm1.1(KOMP)Vlcg>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.0,48.125,36.25,41.875,56.875
Igfl3,Igfl3<tm1b(EUCOMM)Hmgu>,homozygote,JAX,7,7,0,Insufficient controls found: 0 < 20,7,7,7,7,7,50.714285714285715,48.57142857142857,37.142857142857146,43.57142857142857,52.142857142857146
Iglon5,Iglon5<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,15.0,18.75,30.0,45.0
Il20rb,Il20rb<em2(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,17.5,20.0,32.5,61.25
Il20rb,Il20rb<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,26.25,30.0,40.0,48.75
Il21r,Il21r<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,23.75,26.25,31.25,46.25
Inhbb,Inhbb<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,40.0,28.75,30.0,53.75,50.0
Ints12,Ints12<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,45.0,32.5,35.0,41.25,61.25
Ints7,Ints7<em1(IMPC)J>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,45.625,46.25,43.125,41.875,64.375
Irak2,Irak2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,41.25,33.75,30.0,28.75,41.25
Itga3,Itga3<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,18.75,17.5,32.5,47.5
Itgbl1,Itgbl1<em1(IMPC)Kmpc>,homozygote,KMPC,8,1,420,OK,8,8,8,8,1,30.0,25.625,25.625,45.625,50.0
Itm2c,Itm2c<tm1b(EUCOMM)Wtsi>,heterozygote,HMGU,7,4,960,OK,7,7,7,7,4,45.714285714285715,30.0,33.57142857142857,41.42857142857143,51.25
Itm2c,Itm2c<em2(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,38.75,23.75,25.0,31.25,41.25
Itpr1,Itpr1<tm1.1(NCOM)Mfgc>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,17.5,21.25,31.25,40.0
Josd1,Josd1<em1(IMPC)Wtsi>,homozygote,WTSI,6,6,906,OK,6,6,6,6,6,27.5,15.0,17.5,23.333333333333332,31.666666666666668
Kat5,Kat5<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,21.25,22.5,31.25,45.0
Kat8,Kat8<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,23.75,25.0,31.25,51.25
Kbtbd12,Kbtbd12<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,21.25,21.25,35.0,60.0
Kbtbd3,Kbtbd3<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16,16,3446,OK,16,16,16,16,16,30.625,26.875,25.0,39.6875,69.6875
Kbtbd8,Kbtbd8<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,21.25,31.25,38.75,51.25
Kcna5,Kcna5<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,18.75,23.75,31.25,71.25
Kcnh6,Kcnh6<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,55.0,31.25,31.25,48.75,65.0
Klf17,Klf17<tm1b(KOMP)Wtsi>,homozygote,WTSI,8,8,906,OK,8,8,8,8,8,31.875,16.875,20.625,27.5,38.75
Kntc1,Kntc1<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,7,7,2541,OK,7,7,7,7,7,47.857142857142854,46.42857142857143,33.57142857142857,45.714285714285715,52.857142857142854
Kntc1,Kntc1<tm1b(EUCOMM)Hmgu>,homozygote,JAX,3,3,2541,OK,3,3,3,3,3,60.0,60.0,46.666666666666664,51.666666666666664,60.0
Kntc1,Kntc1<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,7,7,2541,OK,7,7,7,7,7,47.857142857142854,46.42857142857143,33.57142857142857,45.714285714285715,52.857142857142854
Kntc1,Kntc1<tm1b(EUCOMM)Hmgu>,homozygote,JAX,3,3,2541,OK,3,3,3,3,3,60.0,60.0,46.666666666666664,51.666666666666664,60.0
Letmd1,Letmd1<em1(IMPC)Kmpc>,homozygote,KMPC,4,3,420,OK,4,4,4,4,3,31.25,26.25,27.5,37.5,63.333333333333336
Lgals3bp,Lgals3bp<em1(IMPC)H>,homozygote,MRC Harwell,4,4,70,OK,4,4,4,4,4,48.75,36.25,36.25,32.5,51.25
Lox,Lox<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,26.25,31.25,36.25,46.25
Lrrcc1,Lrrcc1<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,52.5,35.0,36.25,40.0,55.0
Lsm1,Lsm1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,4,1,960,OK,4,4,4,1,1,50.0,36.25,45.0,55.0,70.0
Maf,Maf<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,22.5,26.25,33.75,47.5
Marveld2,Marveld2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,96.25,100.0,95.0,95.0,95.0
Mcu,Mcu<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,47.5,23.75,40.0,37.5,38.75
Mdm1,Mdm1<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,30.0,31.25,35.0,56.25,62.5
Me2,Me2<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8,3,960,OK,8,8,7,6,3,45.625,28.75,33.57142857142857,45.833333333333336,58.333333333333336
Med1,Med1<tm3b(EUCOMM)Wtsi>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,22.5,26.25,35.0,46.25
Megf6,Megf6<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,30.0,27.5,28.75,32.5,50.0
Mical2,Mical2<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,37.5,21.25,23.75,36.25,47.5
Minar1,Minar1<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,36.25,18.75,20.0,30.0,45.0
Mipol1,Mipol1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,3,0,960,OK,3,3,1,0,0,58.333333333333336,46.666666666666664,35.0,,
Mir100,Mir100<em1(IMPC)Kmpc>,homozygote,KMPC,5,4,420,OK,5,5,5,5,4,21.0,28.0,26.0,34.0,50.0
Mir203,Mir203<tm1Wtsi>,heterozygote,MARC,6,6,147,OK,6,6,6,6,6,59.166666666666664,47.5,41.666666666666664,47.5,72.5
Mmgt2,Mmgt2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,57.5,56.25,48.75,51.25,58.75
Ms4a12,Ms4a12<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,31.25,13.75,20.0,33.75,61.25
Mybphl,Mybphl<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,4,906,OK,4,4,4,4,4,32.5,21.25,20.0,30.0,37.5
Mybphl,Mybphl<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,32.5,13.75,17.5,27.5,32.5
Myh8,Myh8<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,18.75,25.0,33.75,50.0
Nat1,Nat1<tm1.1(KOMP)Vlcg>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,47.142857142857146,41.42857142857143,33.57142857142857,45.0,57.142857142857146
Nav2,Nav2<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,22.5,27.5,37.5,47.5
Ncor2,Ncor2<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,22.5,21.25,32.5,43.75
Ndrg3,Ndrg3<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,20.0,18.75,30.0,42.5
Ndufc2,Ndufc2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,52.5,32.5,32.5,45.0,55.0
Nedd4,Nedd4<tm2b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,55.0,43.75,46.25,63.75,62.5
Nkg7,Nkg7<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,22.5,26.25,42.5,73.75
Nnmt,Nnmt<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,23.75,27.5,35.0,52.5
Nodal,Nodal<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,346,OK,4,4,4,4,4,60.0,42.5,28.75,45.0,58.75
Nosip,Nosip<em1(IMPC)Tcp>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,25.0,37.5,48.75
Npas3,Npas3<tm1b(KOMP)Wtsi>,heterozygote,KMPC,5,5,420,OK,5,5,5,5,5,27.0,23.0,24.0,30.0,38.0
Obp2b,Obp2b<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,30.0,27.5,27.5,35.0,50.0
Oprl1,Oprl1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,26.25,37.5,32.5,62.5
Otol1,Otol1<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,41.25,27.5,28.75,38.75,68.75
Palm3,Palm3<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,0,1909,OK,0,0,0,0,0,,,,,
Pank4,Pank4<em1(IMPC)Kmpc>,homozygote,KMPC,4,2,420,OK,4,4,4,4,2,32.5,27.5,31.25,38.75,60.0
Panx1,Panx1<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,22.5,26.25,33.75,53.75
Paox,Paox<tm1.1(KOMP)Wtsi>,homozygote,HMGU,5,2,960,OK,5,5,5,5,2,53.0,33.0,37.0,49.0,75.0
Pappa,Pappa<em1(IMPC)H>,homozygote,MRC Harwell,4,4,70,OK,4,4,4,4,4,68.75,63.75,52.5,60.0,67.5
Paqr5,Paqr5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16,16,3446,OK,16,16,16,16,16,33.75,32.5,32.1875,36.25,52.8125
Pard3b,Pard3b<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8,6,960,OK,8,8,8,6,6,46.875,28.75,31.25,38.333333333333336,59.166666666666664
Pcdh10,Pcdh10<tm1bNarl>,homozygote,MRC Harwell,4,2,346,OK,3,4,4,3,2,80.0,63.75,56.25,48.333333333333336,85.0
Pde6b,Pde6b<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,20.0,21.25,32.5,47.5
Pde7b,Pde7b<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,20.0,20.0,32.5,47.5
Pdia6,Pdia6<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,8,5,960,OK,8,8,8,8,5,49.375,32.5,36.875,51.25,59.0
Pes1,Pes1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,3,1,346,OK,2,2,2,1,1,62.5,57.5,32.5,65.0,70.0
Pfkfb4,Pfkfb4<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,46.25,16.25,21.25,31.25,42.5
Pfkfb4,Pfkfb4<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,35.0,18.75,18.75,26.25,33.75
Pgbd1,Pgbd1<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,20.0,26.25,35.0,48.75
Phc3,Phc3<tm2b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,20.0,22.5,32.5,41.25
Phf7,Phf7<tm1b(EUCOMM)Hmgu>,homozygote,KMPC,4,0,420,OK,4,4,4,4,0,28.75,28.75,26.25,60.0,
Pip4p1,Pip4p1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,16,14,3446,OK,16,16,16,16,14,30.0,28.4375,26.875,35.3125,55.714285714285715
Pipox,Pipox<tm1b(EUCOMM)Wtsi>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,20.0,21.25,31.25,45.0
Pla2g4b,Pla2g4b<tm1b(EUCOMM)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,15.0,21.25,31.25,43.75
Plag1,Plag1<em1(IMPC)Hmgu>,homozygote,HMGU,8,1,1909,OK,8,8,7,3,1,44.375,33.125,42.142857142857146,66.66666666666667,55.0
Plin4,Plin4<tm1.1(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,58.75,42.5,41.25,40.0,45.0
Plpp3,Plpp3<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,45.0,33.75,37.5,41.25,58.75
Pmm2,Pmm2<tm1b(EUCOMM)Hmgu>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,32.5,17.5,23.75,28.75,41.25
Pnkp,Pnkp<em1(IMPC)Mbp>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,38.75,18.75,27.5,25.0,36.25
Polq,Polq<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,35.0,20.0,21.25,27.5,42.5
Ppbp,Ppbp<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,17.5,22.5,33.75,46.25
Ppp1cb,Ppp1cb<em2(IMPC)Marc>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,58.75,55.0,55.0,78.75,95.0
Ppp1r15a,Ppp1r15a<em2(IMPC)H>,homozygote,MRC Harwell,4,4,70,OK,4,4,4,4,4,51.25,43.75,46.25,50.0,46.25
Ppp1r1a,Ppp1r1a<em2(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,62.5,57.5,50.0,63.75,80.0
Ppt2,Ppt2<tm2b(KOMP)Wtsi>,homozygote,MRC Harwell,4,3,860,OK,4,3,4,4,3,43.75,28.333333333333332,32.5,28.75,65.0
Pramel17,Pramel17<tm1b(KOMP)Wtsi>,homozygote,UC Davis,3,3,574,OK,3,3,3,3,3,73.33333333333333,38.333333333333336,28.333333333333332,38.333333333333336,45.0
Prdm2,Prdm2<em1(IMPC)Marc>,homozygote,MARC,4,4,147,OK,4,4,4,4,4,51.25,40.0,45.0,51.25,63.75
Prkab1,Prkab1<em1(IMPC)J>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,51.42857142857143,45.0,33.57142857142857,42.857142857142854,55.0
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,CCP-IMG,22,19,3446,OK,22,22,22,22,19,29.09090909090909,23.636363636363637,25.0,34.77272727272727,39.21052631578947
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,heterozygote,CCP-IMG,16,12,3446,OK,16,16,16,16,12,31.25,32.8125,30.625,38.4375,57.083333333333336
Prkab1,Prkab1<em2(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,42.5,28.75,33.75,40.0,50.0
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,ICS,24,24,1512,OK,24,24,24,24,24,37.5,15.625,16.458333333333332,27.083333333333332,44.166666666666664
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,WTSI,6,6,906,OK,6,6,6,6,6,36.666666666666664,18.333333333333332,20.833333333333332,30.833333333333332,42.5
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,RBRC,4,4,296,OK,4,4,4,4,4,3.05,2.7,5.5,23.0,27.15
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,50.0,45.625,35.0,50.0,58.125
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,UC Davis,3,3,574,OK,3,3,3,3,3,50.0,36.666666666666664,38.333333333333336,40.0,56.666666666666664
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,heterozygote,JAX,8,8,2541,OK,8,8,8,8,8,41.875,48.75,35.0,43.125,58.125
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,HMGU,3,2,960,OK,3,3,3,3,2,43.333333333333336,28.333333333333332,36.666666666666664,50.0,65.0
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,8,8,860,OK,8,8,8,8,8,36.875,32.5,28.125,31.875,40.625
Prkab1,Prkab1<tm1b(KOMP)Wtsi>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,40.0,21.25,25.0,30.0,37.5
Prkd2,Prkd2<em1(IMPC)Hmgu>,homozygote,HMGU,8,0,1909,OK,1,3,3,1,0,85.0,78.33333333333333,86.66666666666667,85.0,
Prodh,Prodh<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,36.25,13.75,21.25,32.5,47.5
Prpf18,Prpf18<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4,4,574,OK,4,4,4,4,4,37.5,16.25,20.0,32.5,50.0
Prr9,Prr9<em1(IMPC)Mbp>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,33.75,17.5,23.75,30.0,45.0
Prss2,Prss2<tm1.1(KOMP)Vlcg>,homozygote,JAX,7,7,2541,OK,7,7,7,7,7,48.57142857142857,45.714285714285715,33.57142857142857,39.285714285714285,55.0
Pspc1,Pspc1<em1(IMPC)Mbp>,homozygote,UC Davis,5,5,574,OK,5,5,5,5,5,36.0,18.0,28.0,36.0,48.0
Ptger2,Ptger2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4,4,574,OK,4,4,4,4,4,40.0,22.5,26.25,36.25,48.75
Ptpmt1,Ptpmt1<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4,4,588,OK,4,4,4,4,4,28.75,18.75,22.5,27.5,40.0
Pxk,Pxk<em1(IMPC)Tcp>,homozygote,TCP,4,4,588,OK,4,4,4,4,4,33.75,21.25,27.5,36.25,50.0
Qsox2,Qsox2<em1(IMPC)Kmpc>,homozygote,KMPC,4,4,420,OK,4,4,4,4,4,31.25,28.75,26.25,31.25,56.25
Rab24,Rab24<tm1.1(KOMP)Wtsi>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,48.125,45.0,32.5,39.375,53.125
Rab34,Rab34<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,7,7,2541,OK,7,7,7,7,7,47.857142857142854,42.857142857142854,33.57142857142857,44.285714285714285,60.0
Rab3il1,Rab3il1<em1(IMPC)J>,homozygote,JAX,6,6,2541,OK,6,6,6,6,6,50.0,57.5,51.666666666666664,34.166666666666664,57.5
Rabggta,Rabggta<tm1.1(KOMP)Vlcg>,heterozygote,MARC,4,4,147,OK,4,4,4,4,4,57.5,46.25,53.75,77.5,95.0
Rapsn,Rapsn<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,26.25,22.5,28.75,28.75,41.25
Rbak,Rbak<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,906,OK,4,4,4,4,4,31.25,13.75,20.0,22.5,31.25
Rccd1,Rccd1<tm1.1(KOMP)Wtsi>,homozygote,MRC Harwell,3,2,346,OK,3,3,3,2,2,56.666666666666664,55.0,40.0,75.0,82.5
Rell1,Rell1<em1(IMPC)J>,homozygote,JAX,8,8,2541,OK,8,8,8,8,8,45.625,41.25,38.75,37.5,33.125
Retreg3,Retreg3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,4,860,OK,4,4,4,4,4,42.5,35.0,38.75,36.25,38.75
