gene_symbol,allele_symbol,zygosity,n_mutants_with_data,impc_mutant_n,impc_control_n,n_abr_params_in_stats,n_abr_params_processed,no_impc_abr_result,status
Arhgef7,Arhgef7<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Arpc3,Arpc3<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Arsg,Arsg<tm1a(KOMP)Wtsi>,homozygote,7,7.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Art4,Art4<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Arvcf,Arvcf<tm1e(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Aspm,Aspm<tm1a(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Atp8b2,Atp8b2<tm1a(KOMP)Wtsi>,heterozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
B9d2,B9d2<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cabp1,Cabp1<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Calcoco2,Calcoco2<tm1(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cand2,Cand2<tm1a(EUCOMM)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Casp12,Casp12<tm1a(KOMP)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cbx5,Cbx5<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cbx6,Cbx6<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc122,Ccdc122<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc134,Ccdc134<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc159,Ccdc159<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc160,Ccdc160<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc24,Ccdc24<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccdc77,Ccdc77<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ccl22,Ccl22<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cd300lg,Cd300lg<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cd55b,Cd55b<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cdh19,Cdh19<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cdk14,Cdk14<tm1a(KOMP)Wtsi>,homozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cdkal1,Cdkal1<tm2a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cert1,Cert1<tm1a(KOMP)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Ciao2a,Ciao2a<tm2a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cldn34b2,Cldn34b2<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Clk1,Clk1<tm1a(EUCOMM)Wtsi>,homozygote,5,5.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cmip,Cmip<tm1a(EUCOMM)Wtsi>,heterozygote,8,8.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cmtm4,Cmtm4<tm1a(EUCOMM)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cmtm6,Cmtm6<tm1a(EUCOMM)Wtsi>,homozygote,6,6.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Cnot6,Cnot6<tm1a(KOMP)Wtsi>,homozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
Commd10,Commd10<tm1a(EUCOMM)Wtsi>,heterozygote,4,4.0,98.0,6,0,True,"in stats but no result (>=3 mut, >=60 ctrl)"
