gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Angptl1,Angptl1<tm4b(KOMP)Wtsi>,homozygote,KMPC,4
Ankrd1,Ankrd1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Ankrd27,Ankrd27<tm1b(EUCOMM)Hmgu>,homozygote,ICS,18
Ankrd31,Ankrd31<em1(IMPC)Hmgu>,homozygote,HMGU,8
Ankrd44,Ankrd44<em1(IMPC)J>,homozygote,JAX,8
Ankrd52,Ankrd52<em1(IMPC)J>,heterozygote,JAX,8
Anks3,Anks3<em1(IMPC)J>,heterozygote,JAX,8
Anks6,Anks6<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4
Ankub1,Ankub1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Ankzf1,Ankzf1<em1(IMPC)Hmgu>,homozygote,HMGU,8
Ano10,Ano10<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5
Ano2,Ano2<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,21
Ano6,Ano6<em3(IMPC)Tcp>,heterozygote,TCP,4
Ano7,Ano7<em1(IMPC)J>,homozygote,JAX,8
Ano8,Ano8<em1(IMPC)J>,heterozygote,JAX,8
Aoc1,Aoc1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Aopep,Aopep<tm1b(KOMP)Wtsi>,homozygote,CCP-IMG,13
Ap2a2,Ap2a2<em1(IMPC)Wtsi>,heterozygote,WTSI,4
Ap2a2,Ap2a2<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4
Ap2a2,Ap2a2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,6
Ap4e1,Ap4e1<em1(IMPC)J>,heterozygote,JAX,7
Ap4e1,Ap4e1<em1(IMPC)J>,homozygote,JAX,8
Ap4e1,Ap4e1<em2(IMPC)Mbp>,homozygote,UC Davis,4
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,CCP-IMG,15
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,ICS,16
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,JAX,10
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,RBRC,4
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,TCP,4
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,UC Davis,4
Ap4e1,Ap4e1<tm1b(KOMP)Wtsi>,homozygote,WTSI,6
Apbb2,Apbb2<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,4
Apol8,Apol8<em1(IMPC)J>,homozygote,JAX,8
Apol9b,Apol9b<tm2a(KOMP)Wtsi>,homozygote,WTSI,4
Aprt,Aprt<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Aqp3,Aqp3<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4
Aqp9,Aqp9<tm1b(KOMP)Wtsi>,homozygote,KMPC,12
Arfgef1,Arfgef1<em1(IMPC)Hmgu>,heterozygote,HMGU,8
Arfip2,Arfip2<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Arhgap21,Arhgap21<em1(IMPC)J>,heterozygote,JAX,8
Arhgap29,Arhgap29<em1(IMPC)J>,heterozygote,JAX,8
Arhgap36,Arhgap36<em1(IMPC)J>,hemizygote,JAX,4
Arhgap36,Arhgap36<em1(IMPC)J>,homozygote,JAX,4
Arhgef1,Arhgef1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4
Arhgef16,Arhgef16<em1(IMPC)Mbp>,homozygote,UC Davis,4
Arid1b,Arid1b<tm1b(EUCOMM)Hmgu>,heterozygote,WTSI,5
Arid3a,Arid3a<tm1b(KOMP)Wtsi>,heterozygote,JAX,9
Arl16,Arl16<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Arl5a,Arl5a<em1(IMPC)J>,homozygote,JAX,8
Arpc1a,Arpc1a<em1(IMPC)J>,heterozygote,JAX,8
Arsg,Arsg<tm1a(KOMP)Wtsi>,homozygote,WTSI,7
Arvcf,Arvcf<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4
Ascl5,Ascl5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Asic4,Asic4<em2(IMPC)Mbp>,homozygote,UC Davis,4
Asmt,Asmt<em1(IMPC)J>,homozygote,JAX,8
Aspa,Aspa<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Asphd1,Asphd1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,15
Aspm,Aspm<tm1a(KOMP)Wtsi>,homozygote,WTSI,6
Aspn,Aspn<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Aspscr1,Aspscr1<em1(IMPC)Tcp>,homozygote,TCP,4
Atg4a,Atg4a<em2(IMPC)Marc>,homozygote,MARC,4
Atg4c,Atg4c<em2(IMPC)Marc>,homozygote,MARC,4
Atl2,Atl2<tm2b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Atl3,Atl3<em1(IMPC)Tcp>,homozygote,TCP,4
Atp11c,Atp11c<em1(IMPC)J>,hemizygote,JAX,4
Atp13a2,Atp13a2<tm1b(EUCOMM)Hmgu>,homozygote,RBRC,4
Atp2a1,Atp2a1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Atp5mg,Atp5mg<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Atp6v0a1,Atp6v0a1<tm1b(EUCOMM)Hmgu>,heterozygote,TCP,4
Atp6v0b,Atp6v0b<em1(IMPC)J>,heterozygote,JAX,11
Atp6v1f,Atp6v1f<em1(IMPC)J>,heterozygote,JAX,8
Atp8a2,Atp8a2<em1(IMPC)J>,heterozygote,JAX,8
Atp8b1,Atp8b1<em1(IMPC)Tcp>,homozygote,TCP,6
Atp9a,Atp9a<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Atrip,Atrip<tm1b(KOMP)Wtsi>,heterozygote,JAX,8
Aurka,Aurka<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,7
Avpr1a,Avpr1a<em1(IMPC)J>,homozygote,JAX,8
BC049715,BC049715<tm1b(KOMP)Mbp>,homozygote,MARC,4
Babam1,Babam1<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,14
Bace2,Bace2<tm1b(EUCOMM)Wtsi>,homozygote,ICS,6
Bach1,Bach1<tm1.1(KOMP)Vlcg>,heterozygote,JAX,8
Bach2,Bach2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,9
Bach2,Bach2<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,8
Bag2,Bag2<em1(IMPC)J>,homozygote,JAX,8
Bahd1,Bahd1<tm2b(KOMP)Wtsi>,heterozygote,ICS,17
Baiap2l2,Baiap2l2<tm1b(EUCOMM)Hmgu>,homozygote,ICS,16
Bap1,Bap1<em2(IMPC)Marc>,heterozygote,MARC,4
Bap1,Bap1<tm1a(EUCOMM)Hmgu>,heterozygote,WTSI,5
Baz1a,Baz1a<tm1b(EUCOMM)Hmgu>,homozygote,TCP,4
Bbof1,Bbof1<em1(IMPC)Marc>,homozygote,MARC,4
Bckdha,Bckdha<em1(IMPC)Tcp>,heterozygote,TCP,4
Bcl2l12,Bcl2l12<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Bclaf1,Bclaf1<tm1b(EUCOMM)Wtsi>,heterozygote,JAX,7
Bdkrb1,Bdkrb1<em1(IMPC)H>,homozygote,MRC Harwell,4
Best2,Best2<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,7
Bex6,Bex6<tm1.1(KOMP)Vlcg>,homozygote,JAX,8
