gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Furin,Furin<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Gosr2,Gosr2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Gpr22,Gpr22<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Gpr33,Gpr33<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Grm6,Grm6<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Hace1,Hace1<tm1b(KOMP)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Hectd2,Hectd2<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Igfbp3,Igfbp3<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Il17rd,Il17rd<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Itga2,Itga2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Kdm8,Kdm8<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Klf7,Klf7<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Klhdc2,Klhdc2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Lamb3,Lamb3<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Lgals3,Lgals3<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Lifr,Lifr<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Map3k7,Map3k7<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mapkapk2,Mapkapk2<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mapkbp1,Mapkbp1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mllt3,Mllt3<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mmp16,Mmp16<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mmrn1,Mmrn1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mpo,Mpo<tm1b(KOMP)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mtch2,Mtch2<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Mxra7,Mxra7<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Nptn,Nptn<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Nxn,Nxn<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Otub1,Otub1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
P2rx6,P2rx6<tm2b(EUCOMM)Wtsi>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Pbx3,Pbx3<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Pdpn,Pdpn<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Pdpn,Pdpn<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,1,0,1,involves: C57BL/6NTac,Harwell,400
Pkd1l2,Pkd1l2<tm1b(KOMP)Mbp>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Poln,Poln<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4,2,2,involves: C57BL/6NTac,Harwell,400
Prdm4,Prdm4<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,5,2,3,involves: C57BL/6NTac,Harwell,400
