gene_symbol,allele_symbol,zygosity,phenotyping_center,n_mutants,n_males,n_females,genetic_background,pipeline_name,n_controls
Arpin,Arpin<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Arrdc5,Arrdc5<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Arsg,Arsg<tm1a(KOMP)Wtsi>,homozygote,WTSI,7,7,0,involves: C57BL/6N,MGP Select Pipeline,960
Art4,Art4<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Arvcf,Arvcf<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Aspm,Aspm<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,1,5,involves: C57BL/6N,MGP Select Pipeline,960
Atad3a,Atad3a<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Atg16l2,Atg16l2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Atp11a,Atp11a<tm1e(KOMP)Wtsi>,heterozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Atp5f1e,Atp5f1e<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Atp5pb,Atp5pb<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Atp8b2,Atp8b2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Atxn10,Atxn10<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Atxn3,Atxn3<tm1a(KOMP)Wtsi>,homozygote,WTSI,7,5,2,involves: C57BL/6N,MGP Select Pipeline,960
B9d2,B9d2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Bach2,Bach2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,9,6,3,involves: C57BL/6N,MGP Select Pipeline,960
Bap1,Bap1<tm1a(EUCOMM)Hmgu>,heterozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Bhlhe40,Bhlhe40<tm1b(KOMP)Wtsi>,homozygote,WTSI,5,2,3,involves: C57BL/6N,MGP Select Pipeline,960
Bin2,Bin2<em1(IMPC)Wtsi>,homozygote,WTSI,3,3,0,involves: C57BL/6N,MGP Select Pipeline,960
Bivm,Bivm<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Bnip2,Bnip2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Bpgm,Bpgm<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Bpifb1,Bpifb1<tm1e(KOMP)Wtsi>,homozygote,WTSI,7,1,6,involves: C57BL/6N,MGP Select Pipeline,960
Bpifb5,Bpifb5<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Brd2,Brd2<em1(IMPC)Wtsi>,heterozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Cabp1,Cabp1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Calcoco2,Calcoco2<tm1(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Camkmt,Camkmt<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Camsap3,Camsap3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,7,1,6,involves: C57BL/6N,MGP Select Pipeline,960
Cand2,Cand2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,5,1,involves: C57BL/6N,MGP Select Pipeline,960
Capn11,Capn11<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Capza2,Capza2<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Card9,Card9<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Casp12,Casp12<tm1a(KOMP)Wtsi>,homozygote,WTSI,6,3,3,involves: C57BL/6N,MGP Select Pipeline,960
Catip,Catip<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Catspere2,Catspere2<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cbr2,Cbr2<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Cbx5,Cbx5<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Cbx6,Cbx6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc122,Ccdc122<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc127,Ccdc127<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,10,5,5,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc134,Ccdc134<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc159,Ccdc159<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc160,Ccdc160<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,1,1,0,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc160,Ccdc160<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc18,Ccdc18<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc24,Ccdc24<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc6,Ccdc6<em1(IMPC)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc69,Ccdc69<tm1b(KOMP)Wtsi>,homozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Ccdc77,Ccdc77<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ccl22,Ccl22<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ccl22,Ccl22<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,1,1,involves: C57BL/6N,MGP Select Pipeline,960
Cd300lg,Cd300lg<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cd55b,Cd55b<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cdh19,Cdh19<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cdk14,Cdk14<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,1,7,involves: C57BL/6N,MGP Select Pipeline,960
Cdkal1,Cdkal1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Cdkn2aipnl,Cdkn2aipnl<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Celf4,Celf4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cenpl,Cenpl<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,10,7,3,involves: C57BL/6N,MGP Select Pipeline,960
Cep15,Cep15<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cep250,Cep250<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,7,5,2,involves: C57BL/6N,MGP Select Pipeline,960
Cert1,Cert1<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cfap53,Cfap53<em1(IMPC)Wtsi>,heterozygote,WTSI,6,3,3,involves: C57BL/6N,MGP Select Pipeline,960
Cfap61,Cfap61<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Cgrrf1,Cgrrf1<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Chd9,Chd9<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Chil4,Chil4<tm1b(EUCOMM)Hmgu>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Chka,Chka<tm2a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Chmp6,Chmp6<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Chst11,Chst11<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Chtop,Chtop<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ciao2a,Ciao2a<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cibar1,Cibar1<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cimip2c,Cimip2c<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Cir1,Cir1<tm3a(KOMP)Wtsi>,heterozygote,WTSI,7,5,2,involves: C57BL/6N,MGP Select Pipeline,960
Cldn34b2,Cldn34b2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Clk1,Clk1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Clpp,Clpp<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,7,3,4,involves: C57BL/6N,MGP Select Pipeline,960
Cmbl,Cmbl<tm1b(KOMP)Wtsi>,homozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Cmip,Cmip<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Cmtm4,Cmtm4<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cmtm5,Cmtm5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cmtm6,Cmtm6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Cnbd1,Cnbd1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cnih3,Cnih3<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,3,0,involves: C57BL/6N,MGP Select Pipeline,960
Cnot4,Cnot4<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cnot6,Cnot6<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cog6,Cog6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Col24a1,Col24a1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Commd10,Commd10<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Coq4,Coq4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,heterozygote,WTSI,6,6,0,involves: C57BL/6N,MGP Select Pipeline,960
Coro1c,Coro1c<tm1a(KOMP)Wtsi>,homozygote,WTSI,3,2,1,involves: C57BL/6N,MGP Select Pipeline,960
Coro6,Coro6<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cpgi81,Cpgi81<tm1.1(NCC)WCS>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cpsf3,Cpsf3<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,5,4,1,involves: C57BL/6N,MGP Select Pipeline,960
Cpsf3,Cpsf3<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,7,3,4,involves: C57BL/6N,MGP Select Pipeline,960
Cpt2,Cpt2<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cracdl,Cracdl<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Crb2,Crb2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Creb3l1,Creb3l1<tm1e(EUCOMM)Wtsi>,heterozygote,WTSI,5,3,2,involves: C57BL/6N,MGP Select Pipeline,960
Crim1,Crim1<em1(IMPC)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Crlf3,Crlf3<em1(IMPC)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Crlf3,Crlf3<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: B6Brd;B6Dnk;B6N-Tyr<c-Brd>,MGP Select Pipeline,960
Crls1,Crls1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Csmd1,Csmd1<em1(IMPC)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Csnk1g3,Csnk1g3<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Ct45a,Ct45a<tm1e(KOMP)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ctr9,Ctr9<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Cttnbp2,Cttnbp2<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Cutal,Cutal<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Cxcr1,Cxcr1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Cxcr2,Cxcr2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,6,2,4,involves: C57BL/6N,MGP Select Pipeline,960
Cxcr2,Cxcr2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Cyba,Cyba<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cyfip2,Cyfip2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,8,8,0,involves: C57BL/6N,MGP Select Pipeline,960
Cyp11a1,Cyp11a1<tm1b(EUCOMM)Hmgu>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cyp20a1,Cyp20a1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Cyp2b13,Cyp2b13<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Cyp2r1,Cyp2r1<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Cyp3a11,Cyp3a11<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
D630023F18Rik,D630023F18Rik<tm1b(KOMP)Wtsi>,homozygote,WTSI,5,5,0,involves: C57BL/6N,MGP Select Pipeline,960
D6Wsu163e,D6Wsu163e<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
D7Ertd443e,D7Ertd443e<tm2a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
D930028M14Rik,D930028M14Rik<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Daam2,Daam2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dact3,Dact3<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Dap,Dap<tm1a(KOMP)Mbp>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Dapk2,Dapk2<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dars2,Dars2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dbn1,Dbn1<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dcaf11,Dcaf11<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dcbld2,Dcbld2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dcdc2b,Dcdc2b<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dcdc2c,Dcdc2c<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dclk1,Dclk1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dclk1,Dclk1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Dcn,Dcn<em1(IMPC)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dctn1,Dctn1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dctn4,Dctn4<em1(IMPC)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dcx,Dcx<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,2,0,2,involves: C57BL/6N,MGP Select Pipeline,960
Ddah1,Ddah1<tm2a(EUCOMM)Wtsi>,homozygote,WTSI,9,4,5,involves: C57BL/6N,MGP Select Pipeline,960
Ddhd1,Ddhd1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ddx42,Ddx42<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Ddx51,Ddx51<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Ddx55,Ddx55<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Def6,Def6<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,8,2,6,involves: C57BL/6N,MGP Select Pipeline,960
Defb14,Defb14<tm1b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Defb22,Defb22<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Defb30,Defb30<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Dennd1b,Dennd1b<tm1a(EUCOMM)Hmgu>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dennd1c,Dennd1c<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,7,3,4,involves: C57BL/6N,MGP Select Pipeline,960
Dennd1c,Dennd1c<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dennd4c,Dennd4c<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Denr,Denr<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dffb,Dffb<em1(IMPC)Wtsi>,homozygote,WTSI,8,4,4,involves: C57BL/6N,MGP Select Pipeline,960
Dhodh,Dhodh<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dhps,Dhps<tm2a(EUCOMM)Wtsi>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Dhrs2,Dhrs2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dhx33,Dhx33<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dhx35,Dhx35<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dip2a,Dip2a<tm2b(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dipk1a,Dipk1a<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Dlg2,Dlg2<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dlg3,Dlg3<tm1a(EUCOMM)Wtsi>,hemizygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dlg4,Dlg4<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,7,3,4,involves: C57BL/6N,MGP Select Pipeline,960
Dlk1,Dlk1<em1(IMPC)Wtsi>,homozygote,WTSI,5,1,4,involves: C57BL/6N,MGP Select Pipeline,960
Dmgdh,Dmgdh<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dmxl2,Dmxl2<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,6,5,1,involves: C57BL/6N,MGP Select Pipeline,960
Dnah17,Dnah17<tm1e(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dnajc8,Dnajc8<tm1b(KOMP)Wtsi>,heterozygote,WTSI,7,2,5,involves: C57BL/6N,MGP Select Pipeline,960
Dnase1l2,Dnase1l2<tm1.1(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Dnmt3a,Dnmt3a<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dnpep,Dnpep<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dop1b,Dop1b<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,6,4,2,involves: C57BL/6N,MGP Select Pipeline,960
Dph2,Dph2<tm2(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dph6,Dph6<tm1a(KOMP)Wtsi>,homozygote,WTSI,8,5,3,involves: C57BL/6N,MGP Select Pipeline,960
Dpm1,Dpm1<tm1b(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dppa1,Dppa1<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Dpy30,Dpy30<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dsc2,Dsc2<tm1e(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dsg1b,Dsg1b<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Duoxa2,Duoxa2<tm1b(KOMP)Wtsi>,homozygote,WTSI,8,6,2,involves: C57BL/6N,MGP Select Pipeline,960
Dusp5,Dusp5<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dynll1,Dynll1<tm1(KOMP)Wtsi>,heterozygote,WTSI,8,5,3,involves: C57BL/6N,MGP Select Pipeline,960
Dynlrb1,Dynlrb1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,2,2,involves: C57BL/6N,MGP Select Pipeline,960
Dynlrb2,Dynlrb2<tm1a(KOMP)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Dynlt2b,Dynlt2b<tm1e(EUCOMM)Wtsi>,homozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Eci3,Eci3<tm1b(EUCOMM)Wtsi>,homozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Edc4,Edc4<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Eef1akmt1,Eef1akmt1<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
Ehbp1l1,Ehbp1l1<tm1a(EUCOMM)Wtsi>,heterozygote,WTSI,4,4,0,involves: C57BL/6N,MGP Select Pipeline,960
Eif3h,Eif3h<tm1a(EUCOMM)Hmgu>,heterozygote,WTSI,4,1,3,involves: C57BL/6N,MGP Select Pipeline,960
Elac2,Elac2<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,4,3,1,involves: C57BL/6N,MGP Select Pipeline,960
Elapor2,Elapor2<tm1a(KOMP)Wtsi>,homozygote,WTSI,4,0,4,involves: C57BL/6N,MGP Select Pipeline,960
